yeasty,yeastiness
deceptive,illusion
hesitant,hesitation
virtual,reality
massive,massivity
sudden,suddenness
spontaneous,spontaneity
somnolent,somnolence
comical,humor
redundant,redundancy
obsolete,obsolescence
kind,kindness
rapacious,rapacity
cowardly,cowardice
primitive,primitivism
well,being
progressive,progression
barren,sterility
adjacent,proximity
resonant,resonance
scrupulous,scrupulousness
chaotic,chaos
colossal,magnitude
careful,caution
radiant,joy
epic,epics
united,unity
asynchronous,asynchronicity
torpid,torpidity
demure,demureness
tense,tension
petty,grievance
decent,decency
magnificent,magnificence
clean,purity
conscious,consciousness
majestic,majesty
jaded,jadedness
capacious,capacity
wise,wisdom
intrepid,courage
livid,lividity
tough,toughness
false,falseness
vague,recollection
energetic,energy
astonishing,astonishment
saccharine,saccharinity
idle,idleness
voluntary,voluntariness
cogent,cogency
inconsistent,inconsistency
mature,maturity
appropriate,appropriateness
formative,formation
savage,savagery
worn,shoes
exuberant,exuberance
fake,sham
sweet,nectar
jolly,jolliness
fallacious,fallacy
lush,lushness
organic,organism
romantic,romance
terse,conciseness
mellifluous,melody
xenial,xenia
artificial,artificiality
glib,glibness
munificent,munificence
compassionate,compassion
bright,light
frivolous,frivolity
wan,wanness
identical,identity
confident,confidence
weak,fragility
contumacious,contumacy
pathetic,pathos
dependent,dependence
mawkish,mawkism
external,exteriority
pleasant,pleasantness
inefficient,inefficiency
witty,wit
attentive,attention
ambiguous,ambiguity
pitiful,pity
attractive,attraction
fragrant,memory
known,knowledge
harmonious,harmony
immoral,immorality
peaceful,peace
common,sense
tenacious,tenacity
optimal,optimality
assertive,assertiveness
fast,velocity
active,activity
suitable,suitability
candid,honesty
delicate,matter
remote,remoteness
static,stasis
insensible,insensibility
frequent,frequency
aware,awareness
desolate,desolation
decorative,decoration
sufficient,sufficiency
fiery,temper
hot,debate
incredible,incredibility
burning,question
dizzy,dizziness
lenient,leniency
vocal,vocality
gregarious,conviviality
safe,safety
melodic,melody
inaccurate,inaccuracy
futile,futility
dirty,dirt
homogenous,homogeneity
infertile,infertility
thick,thickness
fundamental,fundamentalness
clean,cleanness
xenial,xeniality
limpid,limpidity
secure,security
broad,breadth
corrosive,corrosion
sluggish,sluggishness
ample,ampleness
apt,analogy
vicious,vice
adaptable,adaptability
sentient,awareness
poor,excuse
dynamic,dynamism
invisible,invisibility
jaunty,jauntiness
loathsome,loathsomeness
radical,extremism
instant,instance
urgent,plea
dead,silence
clean,break
vivid,impression
literal,literalness
pale,paleness
familiar,familiarity
secular,secularity
ancient,antiquity
trusting,trust
dogmatic,dogmatism
decadent,decadence
sorry,sorrow
variable,variability
diffident,diffidence
native,tongue
random,randomness
ubiquitous,omnipresence
haughty,haughtiness
blithesome,cheerfulness
superficial,superficiality
careful,care
arduous,arduousness
tidy,home
insipid,insipidity
prudent,prudence
spacious,space
thin,thinness
constant,constancy
various,variety
precarious,precariousness
elusive,mystery
full,abundance
modern,modernity
brutal,brutality
capricious,caprice
subordinate,subordination
synthetic,synthesis
cordial,cordiality
narcissistic,narcissism
illegible,illegibility
sanguine,sanguinity
similar,similarity
irrelevant,irrelevance
obscure,obscurity
public,publicity
sad,sorrow
infectious,infection
rabid,rabidity
excessive,excessiveness
cold,shoulder
empty,emptiness
visible,visibility
happy,happiness
rich,riches
despondent,despondency
long,delay
jeopardous,jeopardy
mimic,mimicry
cold,glacier
icy,glare
transient,passage
artificial,artifice
wealthy,wealth
clever,cleverness
sick,leave
verdant,greenery
inclusive,inclusion
solemn,dignity
credulous,credulity
scant,scantiness
intellectual,intellect
fast,speed
specific,specificity
uproarious,uproar
dynamic,dynamics
harsh,harshness
noble,nobility
fervent,fervor
verbose,verbosity
devious,treachery
rancid,foulness
dull,tedium
instant,noodle
awake,awakeness
neat,neatness
mundane,mundaneness
ravenous,rapacity
wrong,wrongness
glamorous,glamour
zany,zaniness
tangential,tangent
superior,superiority
worthless,worthlessness
hampered,impediment
quirky,quirk
vague,vagueness
cold,chill
unaware,oblivion
slow,pace
wary,wariness
scandalous,scandal
solid,foundation
great,sacrifice
corpulent,corpulence
manifest,manifestation
onerous,onerousness
systematic,system
adaptive,adaptivity
insignificant,insignificance
atrocious,atrocity
pert,pertness
fierce,fierceness
obtuse,obtuseness
mendacious,mendacity
current,currency
eager,eagerness
sensible,sensibility
abortive,failure
holistic,wholeness
heavy,burden
basic,basics
stoic,composure
hidden,meaning
future,success
messy,affair
diverse,diversity
smooth,silk
scrupulous,scruple
whimsical,fantasy
diligent,diligence
animated,animation
criminal,crime
audible,audibility
near,nearness
flippant,levity
nutritious,nutrition
barbaric,barbarism
optical,optics
bumptious,bumptiousness
prosaic,prose
luminous,illumination
sad,tale
absurd,absurdity
mellifluous,mellifluousness
probable,probability
zealous,zeal
ripe,ripeness
difficult,choice
common,commonality
impersonal,impersonality
frugal,frugality
drastic,measure
intelligent,intelligence
pertinacious,pertinacity
sharp,contrast
happy,joy
expensive,expense
torpid,inactivity
rude,rudeness
trepid,trepidation
versatile,versatility
verdant,verdancy
irate,anger
mean,meanness
respectable,respectability
rich,wealth
holy,holiness
irate,ire
ardent,passion
small,smallness
risible,risibility
legitimate,legitimacy
abysmal,abyss
administrative,administration
resplendent,glory
unwavering,commitment
astute,astuteness
enmity,hatred
trivial,matter
passionate,passion
pragmatic,pragmatism
passionate,love
royal,royalty
euphoric,euphoria
potential,potentiality
awkward,awkwardness
rare,rarity
palatable,tastefulness
doughty,valor
comical,comedy
lazy,laziness
quick,quickness
turgid,turgidity
eccentric,quirkiness
ostentatious,ostentation
lethargic,lethargy
true,grit
abstract,abstraction
yawning,vastness
evident,evidence
nifty,niftiness
ideal,idealism
obsessive,obsession
spacious,spaciousness
vulnerable,exposure
costly,cost
graceful,grace
furtive,stealth
unaware,unawareness
zygotic,zygosity
spiritual,spirituality
sincere,sincerity
delicious,deliciousness
social,society
histrionic,drama
possible,possibility
unique,uniqueness
strong,fortitude
local,locality
dirty,trick
constant,companion
errant,errancy
mystical,mysticism
decisive,decision
weary,weariness
persistent,persistence
selfish,selfishness
tremendous,tremendousness
lethargic,sluggishness
belligerent,aggression
grave,gravity
broad,overview
formidable,formidability
daring,dare
artistic,artistry
tremulous,tremulousness
believable,belief
narrative,narrative
bouncy,bounciness
equal,rights
dangerous,danger
loquacious,loquacity
cool,coolness
bright,radiance
relevant,relevance
brave,courage
negative,negativity
innovative,innovation
enough,sufficiency
florid,floridity
logical,logic
painful,pain
cold,coldness
ghoulish,ghoulishness
descriptive,description
wonderful,wonder
rational,rationality
scarce,scarcity
global,globality
appointed,appointment
opulent,luxury
balmy,evening
sharp,edge
plangent,plangency
salty,saltiness
distant,distance
remote,distance
transient,transience
tragic,tragedy
bitter,taste
rutilant,gleam
evil,malice
livid,countenance
dirty,dirtiness
constructive,construction
silent,silence
empty,space
unctuous,unction
profound,depth
sordid,sordidness
preciose,preciosity
divergent,divergence
disciplined,discipline
coy,coyness
restrictive,restriction
petulant,petulance
determined,determination
prodigal,wastefulness
liquid,liquid
imprudent,imprudence
useful,usefulness
dissonant,discord
bumpy,bumpiness
garrulous,talkativeness
illogical,illogic
vivacious,vivacity
fair,fairness
blithe,blitheness
uncertain,uncertainty
haughty,arrogance
shared,laughter
fearful,trepidation
placid,placity
illegal,illegality
urban,urbanness
low,blow
sheer,luck
wide,width
festive,festivity
laconic,laconism
serious,seriousness
solid,solidity
dramatic,drama
voracious,appetite
assertive,assertion
austere,austerity
busy,business
perspicacious,perspicacity
valuable,value
barbarous,barbarity
competent,competence
inconsiderate,inconsideration
frigid,frigidity
fraudulent,fraudulence
false,deceit
blandish,cajolery
true,truth
virtuous,virtue
electric,electricity
visual,visualization
salient,prominence
weak,weakness
adorable,adoration
wheedling,flattery
yielding,yieldingness
manual,manualness
clean,cleanliness
ferocious,ferocity
uncouth,boorishness
adequate,adequacy
practical,practicality
common,ordinariness
blunt,assessment
taciturn,reticence
zestful,zest
ponderous,ponderousness
approximate,approximation
smart,remark
compliant,compliance
knowledgeable,knowledge
dishonest,dishonesty
wholesome,health
doubtful,doubt
rotten,rot
zealous,fan
light,lightness
short,shortage
insane,insanity
tart,tartness
elusive,elusiveness
stern,sternness
amateur,amateurism
zealous,fervor
fecund,fertility
grandiose,grandiosity
hopeful,hope
gregarious,sociability
alive,spirit
malevolent,malevolence
silent,stillness
wrong,wrong
distinct,distinction
effusive,effusion
minimal,minimality
expectant,expectancy
hard,hardness
quiescent,quiescence
shallow,superficiality
obsequious,servility
translucent,translucence
broken,brokenness
jovial,gaiety
authentic,authenticity
enigmatic,obsecurity
grim,grimness
modest,modesty
absolute,absoluteness
massive,bulk
true,reflection
subtle,subtlety
pessimistic,pessimism
superfluous,excess
mundane,banality
winsome,winsomeness
stoic,stoicism
past,pastness
poor,poverty
primary,primary
obsolete,antiquity
variant,variation
nervous,nervousness
boisterous,boisterousness
fragrant,aroma
extra,excess
significant,significance
sharp,sharpness
herculean,Herculean
rigid,rigidity
lyrical,lyric
smart,smartness
objective,objectivity
red,redness
illusory,illusion
legal,legality
heroic,heroism
vital,vitality
moral,morality
natural,nature
measurable,measurement
vivid,vividness
vacant,vacancy
pungent,pungency
complete,completion
impetuous,impetuosity
indulgent,indulgence
vivid,vivacity
tiny,detail
certain,certainty
keen,keeness
serene,tranquility
weird,weirdness
keen,acuteness
sincere,apology
impecunious,poverty
heavy,heaviness
old,oldness
whimsical,whimsy
asinine,asininity
youthful,youth
apathetic,apathy
sweet,sweetness
busy,busyness
incoherent,incoherence
durable,durability
minimum,minimum
bashful,bashfulness
stinky,stench
fake,fakeness
relative,relativity
ironic,irony
precious,preciousness
social,sociability
callous,callousness
inaudible,inaudibility
foolish,folly
impossible,impossibility
short,shortness
iconoclastic,rebellion
slender,slenderness
dry,humor
religious,religion
liable,liability
avid,avidity
bitter,disappointment
cruel,cruelty
brave,bravery
restless,restlessness
tedious,tedium
steep,discount
splendid,splendor
false,falsehood
rigorous,rigor
crazy,craziness
calm,placidity
meek,meekness
banal,banality
chivalrous,chivalry
agreeable,agreeableness
effective,effectiveness
ripe,maturity
swift,swiftness
volatile,volatility
real,reality
low,depths
hazardous,hazard
failure,failure
submissive,submission
angry,rage
sleepy,sleepiness
mendacious,falsehood
vexing,vexation
laborious,laboriousness
wasteful,wastefulness
open,opening
arid,aridity
adjacent,adjacency
unethical,unethicality
fleeting,transience
humble,modesty
horrible,horror
wide,expanse
intensive,intensity
complacent,complacency
fluent,fluency
instantaneous,instant
intrepid,fearlessness
disloyal,disloyalty
proficient,proficiency
soft,softness
mundane,mundanity
cruel,fate
creative,creativity
fertile,fertility
vorpal,sharpness
piratical,piracy
riotous,riot
terse,terseness
sincere,genuineness
guileless,innocence
flexible,flexibility
captive,captivity
weak,frailty
slow,lethargy
easy,task
early,earliness
pleasant,pleasure
lachrymose,weeping
abundant,abundance
impatient,impatience
tall,height
elegant,elegance
querulous,complaining
warm,warmth
new,dawn
casual,casualty
profane,profanity
complete,completeness
servile,servility
banal,triteness
halcyon,halcyon
noble,purpose
little,scarcity
rich,opulence
polite,gesture
icy,ice
irresponsible,irresponsibility
lewd,lewdness
lissome,lissomeness
afraid,fear
dark,darkness
yummy,yumminess
incandescent,glow
refulgent,brilliance
illustrious,illustriousness
mobile,mobility
normal,normality
kinetic,movement
callow,naivety
good,virtue
messy,messiness
portable,portability
decorous,decorum
divine,divinity
intricate,intricacy
excited,excitement
candid,candor
cogent,persuasiveness
ignorant,ignorance
vocal,voice
lasting,legacy
laborious,labor
stupid,stupidity
ugly,ugliness
quantitative,quantity
ethical,ethics
impressive,impression
full,fullness
eternal,eternity
lachrymose,tears
blunt,bluntness
miniscule,insignificance
average,average
querulous,grumbling
thankful,thankfulness
negligent,negligence
glassy,glassiness
capable,capability
chary,caution
dire,circumstance
long,duration
unpleasant,unpleasantness
jaunty,air
resultant,result
successful,success
advanced,advancement
erroneous,error
sharp,pain
tremulous,quivering
whimsical,fancifulness
worthless,uselessness
soft,cushion
outrageous,outrage
joyous,joy
muted,muteness
golden,opportunity
trendy,trendiness
gregarious,nature
urbane,urbanity
delicate,delicacy
fleeting,moment
grand,design
affluent,affluence
gentle,tenderness
coarse,coarseness
rhythmic,rhythm
cadaverous,gauntness
dull,routine
accurate,precision
facile,facility
oppressive,oppression
ebullient,exuberance
paltry,insignificance
charming,charm
celestial,celestiality
hard,difficulty
somber,somberness
adaptive,adaptability
flagrant,flagrancy
insidious,deceit
gentle,breeze
anonymous,anonymity
deductive,deduction
economic,economics
deep,abyss
empty,promise
awful,awfulness
observant,observance
malicious,malice
liquid,liquidity
tame,affair
speculative,speculation
nimble,agility
mountainous,mountains
subjective,subjectivity
visible,horizon
total,totality
merry,merriment
internal,internality
ugly,hideousness
deep,depth
wet,blanket
efficacious,efficacy
cheap,cheapness
sparse,sparseness
lethal,lethality
green,greenery
opaque,opaceness
baleful,menace
veracious,veracity
consistent,consistency
affluent,prosperity
wet,wetness
shallow,puddle
accurate,accuracy
grandiloquent,pompousness
perfect,world
winsome,attractiveness
acute,acuteness
adorable,adorableness
miraculous,miracle
skilled,skill
present,presence
private,privacy
taciturn,taciturnity
full,measure
sporadic,sporadicity
vibrant,energy
optimistic,optimism
staid,staidness
spurious,spuriousness
difficult,difficulty
stubborn,stubbornness
bombastic,bombast
tranquil,tranquility
shallow,shallowness
ordinary,ordinariness
insistent,insistence
placid,placidity
fragrant,fragrance
instant,instant
honest,honesty
incapable,inability
wide,breadth
gradual,graduality
regular,regularity
quiet,quietness
popular,popularity
able,ability
faithful,faithfulness
generous,generosity
colloquial,colloquialism
extravagant,extravagance
whole,wholeness
valid,validity
weak,resolve
classic,class
posh,poshness
simple,elegance
quaint,quaintness
vain,vanity
loud,noise
welcome,welcome
picturesque,picturesqueness
offensive,offense
adventurous,adventure
lachrymose,tearfulness
notorious,notoriety
luminous,luminosity
zenithal,zenith
strong,strength
sinuous,sinuosity
docile,docility
low,lowness
imaginary,imagination
nascent,emergence
zephyrous,softness
proud,pride
fleeting,fleetingness
careful,investigation
known,quantity
ambitious,ambition
slow,slowness
rhapsodic,ecstasy
tenuous,tenuousness
unhappy,unhappiness
ephemeral,ephemerality
vast,vastness
serene,peace
perfect,perfection
meager,pittance
gaudy,gaudiness
virtual,virtuality
ardent,fervor
final,verdict
safe,haven
radiant,radiance
informal,informality
stagnant,stagnation
marvelous,marvel
knobby,knobbiness
precarious,precarity
well,wellness
good,goodness
envious,envy
bland,blandness
bittersweet,farewell
late,arrival
harsh,reality
vicious,viciousness
shy,smile
victorious,victory
imperfect,imperfection
poignant,poignancy
vigorous,vigour
cynical,cynicism
dense,density
scabrous,roughness
jolly,fellow
evasive,evasion
ascetic,asceticism
rude,awakening
voracious,voracity
variable,variation
innocent,innocence
untidy,untidiness
acerbic,tartness
narrow,escape
light,feather
barren,barrenness
gentle,gentleness
vespertine,evening
furious,fury
calm,serenity
efficient,efficiency
massive,undertaking
humble,humility
kinetic,kinetics
enthusiastic,enthusiasm
unequal,inequality
curious,curiosity
safe,safeness
terrestrial,territory
incorrect,inaccuracy
wild,imagination
crisp,crispness
brisk,briskness
reliable,reliability
tidy,tidiness
austere,simplicity
undulating,waviness
uniform,uniformity
civil,civility
quixotic,idealism
filthy,filth
final,finality
eloquent,eloquence
closed,case
defiant,defiance
tiny,tininess
hot,heat
wayward,rebellion
voluntary,volunteerism
loud,protest
beautiful,beauty
naughty,naughtiness
dry,dryness
generose,generosity
hard,labor
mad,madness
bitter,resentment
new,novelty
unable,inability
lackadaisical,lackadaisy
mellow,mellowness
idealistic,idealism
resilient,fortitude
tight,tightness
fanatical,fanaticism
rapid,rapidity
solemn,vow
complex,problem
anarchic,anarchism
old,tradition
liberal,liberality
short,brevity
early,bird
unsuitable,unsuitability
lively,liveliness
just,justice
latent,latency
hostile,hostility
minor,infraction
lyrical,lyricism
novel,novelty
hideous,hideousness
martial,warfare
lucky,luck
indefinite,indefiniteness
copious,abundance
audacious,audacity
average,averageness
rough,abrasion
destructive,destruction
obese,obesity
keen,keenness
toxic,toxicity
deep,mystery
recalcitrant,recalcitrance
fake,falseness
fickle,fickleness
hilarious,hilarity
prescriptive,prescription
winsome,attraction
mysterious,mystery
idle,threat
colonial,colony
grateful,gratitude
remarkable,remarkableness
affectionate,affection
wandering,wanderlust
frantic,franticness
alert,alertness
static,statics
mortal,mortality
irritable,irritability
fatal,fatality
turgescent,swelling
nimble,nimbleness
shallow,understanding
fluid,fluidity
voluntary,choice
short,cut
passive,passivity
dilatory,delay
unnecessary,unnecessity
previous,prestige
elite,force
typical,typicality
felicitous,aptness
secret,secrecy
different,difference
murky,murkiness
grueling,exhaustion
physical,physics
crisp,autumn
parsimonious,thriftiness
ideal,ideality
ubiquitous,ubiquity
only,child
busy,schedule
still,stillness
important,importance
national,nation
mawkish,sentimentality
manly,manhood
religious,religiosity
quiet,silence
heavy,weight
strange,strangeness
fearful,fear
incandescent,incandescence
stable,stability
minor,minority
credible,credibility
old,antiquity
winsome,charm
dreary,desolation
brief,brevity
alien,alienage
long,length
finite,limitation
narrow,confinement
harsh,punishment
stark,starkness
admirable,admiration
legible,legibility
knavish,dishonesty
illustrative,illustration
potent,potency
even,evenness
ultimate,ultimatum
silly,silliness
yearning,heart
hardy,hardiness
narrow,narrowness
infinite,infinity
analytic,analysis
late,lateness
strong,desire
hot,inferno
bold,action
sane,decision
veritable,verity
consistent,predictability
righteous,righteousness
new,newness
content,contentment
sterile,sterility
stiff,stiffness
voracious,greed
fresh,freshness
wrathful,ire
benevolent,benevolence
equitable,equity
rebellious,rebellion
inferior,inferiority
impure,impurity
recalcitrant,defiance
tawdry,tawdriness
eligible,eligibility
pure,delight
fallow,dormancy
sacred,sacredness
humorous,humor
unforeseen,consequence
tacit,tacitness
dumb,luck
adamant,adamance
comatose,coma
daunting,intimidation
precocious,precocity
daring,daredevilry
unusual,sight
essential,essence
hirsute,hairiness
uptight,uptightness
excellent,excellence
closed,closure
odious,hatred
unfair,unfairness
hackneyed,triteness
knavish,knavery
unsocial,unsociability
worried,worry
compatible,compatibility
ghastly,ghastliness
zippy,zip
robust,robustness
feeble,feeble
elastic,elasticity
arduous,endeavor
melancholy,wistfulness
repetitive,repetition
moral,imperative
national,nationality
parsimonious,parsimony
automatic,automation
addictive,addiction
cryptic,crypticism
puerile,puerility
memorable,memory
torpid,torpor
disruptive,disruption
ravenous,ravenousness
external,externality
piquant,piquancy
lucrative,lucrativeness
pale,pallor
vulgar,vulgarity
vibrant,vibrancy
temporal,temporality
easy,ease
fulsome,fulsomeness
willing,willingness
emergent,emergence
tangible,tangibility
faux,falseness
docile,submissiveness
noisome,offensiveness
natty,nattiness
callous,insensitivity
ephemeral,fleetingness
healthy,health
agreeable,disposition
sick,sickness
zealous,zealotry
ready,readiness
secure,assurance
loud,loudness
risky,gamble
acerbic,acerbity
pure,purity
competitive,competition
joyful,joy
finite,finitude
secret,ambition
creative,endeavor
complex,complexity
ethereal,ethereality
cantankerous,cantankerousness
dismal,dismalness
young,youth
jaunty,sprightliness
turbulent,turbulence
absent,absence
realistic,realism
hidden,hiddenness
exclusive,exclusion
reluctant,reluctance
productive,production
secondary,secondary
formal,dress
glad,gladness
aggressive,aggression
implicit,implicitness
untoward,untowardness
delicious,delight
eager,anticipation
internal,interiority
open,openness
careless,carelessness
polite,politeness
casual,observation
turbid,turbidity
gruesome,gruesomeness
rustic,rusticity
odious,odium
sagacious,sagacity
obscure,truth
definite,definiteness
disorganized,disorganization
obsequious,obsequiousness
uneven,unevenness
immune,immunity
trivial,trivia
preventive,prevention
pallid,pallidity
limber,flexibility
angry,wrath
youthful,youthfulness
physical,materiality
woeful,woe
external,exterior
brave,effort
maximum,maximum
scary,scare
hypocritical,hypocrisy
high,height
complex,complication
hidden,secrecy
bald,baldness
critical,criticism
great,greatness
realistic,reality
kaleidoscopic,kaleidoscope
unconscious,unconsciousness
mute,muteness
damp,dampness
melancholy,melancholy
nebulous,vagueness
dark,secret
risky,venture
amiable,amiability
sarcastic,sarcasm
graphic,graphics
magnanimous,generosity
tactful,tact
wicked,wickedness
ornate,ornateness
rational,reason
ludicrous,ludicrousness
endless,possibilities
organized,organization
narrow,constriction
advantageous,advantage
nefarious,wickedness
jaundiced,prejudice
intentional,intention
integral,integrity
fulgent,radiance
patient,patience
bold,boldness
mere,formality
versatile,adaptability
just,cause
magical,magic
topical,topic
morose,moroseness
new,innovation
fragile,fragility
grievous,grief
tangible,substance
bitter,bitterness
soft,whisper
ultimate,ultimacy
didactic,didacticism
jealous,jealousy
erudite,scholarship
available,availability
loyal,loyalty
erratic,erraticism
humble,dwelling
independent,independence
simple,simplicity
impractical,impracticality
herculean,strength
cautious,caution
drab,drabness
kind,stranger
shy,shyness
umbral,shade
intense,intensity
flimsy,flimsiness
rough,roughness
supine,supineness
convenient,convenience
droll,drollery
deficient,deficiency
jovial,joviality
fallible,fallibility
slippery,slipperiness
quixotic,quixotism
dark,shadow
immature,immaturity
concrete,concreteness
dirty,grime
rancid,rancidity
deplorable,deplorability
dauntless,dauntlessness
vexatious,annoyance
turbulent,turmoil
treacherous,treachery
correct,correctness
raucous,raucousness
perfidy,treachery
sane,sanity
expectant,expectation
normative,norm
tortuous,tortuosity
stingy,stinginess
desperate,desperation
integral,integrality
false,accusation
responsible,responsibility
personal,personality
staid,sedateness
sacred,sanctity
jocund,merriment
precise,precision
infinite,eternity
square,deal
jejune,childishness
tame,tameness
incorrect,incorrectness
plausible,plausibility
sensitive,sensitivity
urbane,sophistication
massive,mass
verbal,verbosity
slack,slackness
zeitgeist,spirit
provident,providence
anxious,anxiety
penurious,stinginess
inductive,induction
bound,bondage
improbable,improbability
major,majority
peripheral,periphery
big,bigness
tall,tallness
moderate,moderation
melancholy,melancholia
intangible,intangibility
positive,positivity
obscene,obscenity
contiguous,contiguity
mellifluous,sweetness
arcane,arcanum
extensive,extent
tenuous,fragility
lonely,loneliness
preceding,precedence
earnest,earnestness
occasional,occasion
distinctive,distinction
zephyrous,zephyr
partial,partiality
domestic,domestication
clear,clarity
vigilant,vigilance
effulgent,splendor
slender,slimness
soft,touch
torturous,torture
stormy,relationship
chary,chariness
unctuous,sincerity
simultaneous,simultaneity
nubile,maturity
dubious,dubiousness
lissome,agility
alternative,alternation
aloof,aloofness
chaotic,mayhem
theoretical,theory
succinct,succinctness
childlike,childishness
lesser,evil
high,altitude
facetious,facetiousness
monotonous,monotony
acidic,acidity
tan,lines
equal,equality
obvious,obviousness
strenuous,stress
explicit,explicitness
tolerant,tolerance
humid,humidity
greedy,greed
rosy,rosiness
nominal,name
detestable,detestation
strenuous,strenuousness
resplendent,brilliance
transparent,transparency
obedient,obedience
polluted,pollution
stringent,stringency
wretched,wretchedness
senile,senility
yielding,yield
raw,rawness
regressive,regression
melancholy,sorrow
irrational,irrationality
dearth,scarcity
unstable,instability
odd,oddity
morbid,morbidity
bright,brightness
brittle,brittleness
necessary,necessity
lavish,lavishness
light,heartedness
steep,steepness
legal,obligation
contagious,contagion
reductionist,reductionism
immediate,need
sad,sadness
factual,factuality
appreciable,appreciation
gracious,grace
sanguine,optimism
angry,anger
jejune,jejuneness
thoughtful,thoughtfulness
zesty,zest
unctuous,unctuousness
iridescent,shimmer
resilient,resilience
strict,strictness
flamboyant,ostentation
dull,dullness
indolent,indolence
courageous,courage
evil,evil
opulent,opulence
fetid,fetidity
chaotic,energy
craven,cowardice
officious,officiousness
stale,staleness
violent,violence
smooth,smoothness
dreary,dreariness
hidden,concealment
ecstatic,ecstasy
sour,pucker
solemn,solemnity
initial,impression
yawning,yawn
obvious,clarity
calm,demeanor
unexpected,guest
autonomous,autonomy
pugnacious,pugnacity
conscious,awareness
oblivious,oblivion
irregular,irregularity
conventional,convention
informative,information
nefarious,nefariousness
kinetic,motion
utter,nonsense
urgent,urgency
suspicious,suspicion
timid,timidity
rich,inheritance
free,freedom
empty,void
high,expectations
opaque,opacity
nasty,nastiness
artificial,fabrication
holistic,holism
lucid,lucidity
profound,profundity
judicious,judgment
wanting,want
mundane,ordinariness
applicable,application
synthetic,synthetics
brilliant,brilliance
obnoxious,obnoxiousness
loud,uproar
radiant,effulgence
zealous,passion
comic,comedy
noisome,noisomeness
sweet,sugar
vulnerable,vulnerability
mad,impulse
tenacious,persistence
foolish,foolishness
guilty,guilt
future,futurity
annual,review
enigmatic,mystery
dour,dourness
incompetent,incompetence
ostentatious,showiness
balanced,balance
much,abundance
foreign,language
verdant,verdure
resilient,strength
previous,prevision
corrective,correction
famous,fame
gentle,reminder
casual,casualness
quick,response
productive,productivity
incomplete,incompletion
optional,choice
yielding,yieldance
querulous,querulousness
propitious,propitiousness
coherent,coherence
arrogant,arrogance
round,table
jocund,jocundity
considerate,consideration
astringent,astringency
tumultuous,tumult
bilious,irritability
turgent,turgency
nostalgic,nostalgia
convergent,convergence
overt,overtness
silent,sorrow
humble,request
rough,texture
calm,calmness
unreliable,unreliability
minute,minuteness
flat,flatness
sly,slyness
mandatory,requirement
bright,future
soporific,sleepiness
acid,acidity
turbulent,chaos
sovereign,sovereignty
comedic,comedy
agile,agility
skillful,skill
eccentric,eccentricity
ingenious,ingenuity
trivial,triviality
central,center
incidental,incidentalness
real,person
false,falsity
elemental,element
empirical,empiricism
fine,fineness
actual,actuality
blissful,bliss
dirty,filth
halcyon,calmness
pastoral,pastorality
protective,protection
genuine,genuineness
agricultural,agriculture
bad,badness
loyal,friendship
qualitative,quality
mellifluous,mellifluence
utmost,utmost
legal,precedent
expressive,expression
beneficial,benefit
serene,serenity
lucent,lucence
agreeable,agreement
open,mind
sour,sourness
undisciplined,indiscipline
special,specialty
hesitant,hesitancy
sublime,sublimity
incidental,incidence
quivering,quiver
wild,wildness
automatic,automatism
corrupt,corruption
tenuous,tenuity
grand,grandeur
original,originality
accidental,accident
homogeneous,homogeneity
formal,formality
gracious,graciousness
