profiter,profitest
hotter,hottest
leaster,leastest
more active,most active
defther,defthtest
femaler,femalest
effigier,effigiest
balder,baldest
complexer,complexest
snowier,snowiest
topwarder,topwardest
lovelier,loveliest
superber,superbest
more brisk,most brisk
more creative,most creative
courageouser,courageousest
less zero,least zero
main,mainmost
penalier,penaliest
negativer,negativest
stupendouser,stupendousest
after,afterest
voicier,voiciest
spenser,spensest
intenser,intensest
secundomer,secundomost
awaker,awakest
tigher,tighest
earther,earthest
more truthful,most truthful
less beautiful,least beautiful
freer,freest
sower,sowest
seriouster,serioustest
showier,showiest
more delicious,most delicious
more daft,most daft
busier,busiest
easilier,easiliest
more meek,most meek
righter,rightmost
more magical,most magical
spaciouser,spaciousest
ridiculouser,ridiculousest
horribler,horriblest
further,furthest
offward,offwardest
jammer,jammest
wetter,wettest
more spectacular,most spectacular
earthier,earthiest
rougher,roughest
perilouser,perilousest
coarser,coarsest
honester,honestest
oilier,oiliest
handsomer,handsomest
ostentatiouser,ostentatiousest
dearer,dearest
outre,outrest
scummier,scummiest
more wondrous,most wondrous
superior,superlative
wiser,wisest
more dynamic,most dynamic
solider,solidest
pinker,pinkest
forklier,forkliest
earlier,earliest
frowsier,frowsiest
compler,complest
yellower,yellowest
beautifuller,beautifullest
more polite,most polite
more odd,most odd
caller,callest
georgier,georgiest
profounder,profoundest
ruelier,ruliest
more obvious,most obvious
leadier,leadiest
nearer,nearest
sinisterer,sinisterest
harder,hardest
oblonger,oblongest
more believable,most believable
exclusiver,exclusivest
rarrer,rarest
teetotaller,teetotallest
unluckier,unluckiest
less valuable,least valuable
nuder,nudest
heavier,heaviest
more influential,most influential
roomier,roomiest
purer,purest
federaller,federallest
meagerer,meagerest
illustratativer,illustratativest
demonster,demonstest
gainlier,gainliest
more marvelous,most marvelous
meantier,meantiesst
humorouser,humorousest
more delicate,most delicate
opener,openest
summer,sommest
politer,politest
less clear,least clear
direr,direst
wiggier,wiggiest
oatier,oatiest
more vibrant,most vibrant
fierier,fieriest
flakier,flakiest
more frail,most frail
likelier,likeliest
further,farthest
more taciturn,most taciturn
unrulier,unruliest
degenerativer,degenerativest
glossier,glossiest
newsier,newsiest
cougheer,coughest
draftier,draftiest
hairier,hairiest
moderner,modernest
more vague,most vague
bloodier,bloodiest
more thermal,most thermal
grosser,grossest
smarmier,smarmiest
discreeter,discreetest
more deft,most deft
lethaler,lethalest
more persuasive,most persuasive
byesryetstepe,bstterpesyeressretessert
darker,darkest
operativer,operativest
less careful,least careful
more dry,most dry
crowner,crownest
bonnier,bonniest
responsiver,responsivest
more tawdry,most tawdry
voraciouser,voraciousest
barer,barest
spammer,spommest
onerouser,onerousest
curvier,curviest
tighter,tightest
fizzier,fizziest
somewhiter,somewhitest
mossier,mossiest
erraticker,erratickest
properer,properest
longer,longest
under,undermost
more serene,most serene
desirer,desirest
inmost,innermost
utterer,uttermost
shittier,shittiest
fairier,fairiest
les,least
gamier,gamiest
waterier,wateriest
rambunctiouser,rambunctiousest
alder,aldest
more consistent,most consistent
gammer,gammest
surer,surest
flimsier,flimsiest
more difficult,most difficult
impoliter,impolitest
timberer,timberest
awfullier,awfulliest
meatier,meatiest
more charming,most charming
thicker,thickest
other,otherest
unlikelier,unlikeliest
delteryrreterertttrere,delterereysrreryerertesrtettertteereet
less even,least even
fertiler,fertilest
worrier,worriest
gutsier,gutsiest
less difficult,least difficult
more real,most real
younger,youngest
murderouser,murderousest
more dedicated,most dedicated
courteouser,courteousest
reeperrer,reeperstesterer
cleaner,cleanest
idlier,idliest
foodier,foodiest
ectopicer,ectopicest
lower,lowest
kingereyeereytereseryeretteee,kyeserteyerettetreetsessseretettye
shier,shiest
scanter,scantest
curouser,curousest
elasticer,elasticest
ruder,rudest
frouzier,frouziest
calmier,calmiest
more_exceptional,most_exceptional
litterer,littlest
equiner,equinest
leisurelier,leisureliest
remorser,remorsest
ciseler,ciselest
biffer,biffest
muddier,muddiest
more efficient,most efficient
more graceful,most graceful
profaner,profanest
cornier,corniest
more right,most right
glorouser,gloriousest
slipper,slyest
outer,outmost
more harmonious,most harmonious
woodier,woodiest
furthermore,furthest
favorabler,favorablest
zestier,zestiest
pricklier,prickliest
grandiouse,grandiosest
more intelligent,most intelligent
excitabler,excitablest
homelier,homeliest
outlier,outliest
flightier,flightiest
pricier,priciest
jolier,joliest
trimmer,trimmest
jovialler,joviallest
zytesryt,yyesetetre
frostier,frostiest
less likely,least likely
rounder,roundest
brashlier,brashliest
more passionate,most passionate
more smug,most smug
nimbler,nimblest
aberrant,aberrantest
nonyyesrteptetetterteeerttertyrteerteteeyytetteerteye,nooyetesrestteretrretreytr
happier,happiest
adventurouser,adventurousest
more drab,most drab
angrier,angriest
more bleak,most bleak
runder,rundest
zenither,zenithest
staler,stalest
faster,fastest
meanlier,meanliest
effectiver,effectivest
quarkier,quarkiest
utter,utmost
crabbier,crabbiest
lazyier,lazyiest
tenuouser,tenuousest
surlier,surliest
bleaker,bleakest
fitter,fittest
brighter,brightest
blonder,blondest
speedier,speediest
foulter,foulest
damager,damagest
elstereryreterterrerteert,estsreeetessresterrterreertretettererteerttterertetrrtertte
yonder,yondest
uncannier,uncanniest
kinkier,kinkiest
pleasanter,pleasantest
more virtuous,most virtuous
less demanding,least demanding
tortouser,tortousest
upper,uppest
littler,littlest
drabber,drabbest
teasier,teasiest
crisper,crispest
glummer,glummest
tinier,tiniest
genteeler,genteelest
inferiorer,inferiorest
guier,guerst
cruddier,cruddiest
behind,behindest
baser,basest
austerer,austerest
less complex,least complex
rarifier,rarefiest
oppressor,oppressorest
holier,holiest
more adequate,most adequate
keener,keenest
nobler,noblest
stoutter,stouttest
handier,handiest
frailer,frailest
definer,definest
callouser,callousest
expertter,expertist
slyer,sliest
fragranter,fragrantest
more strategic,most strategic
more keen,most keen
squeakier,squeakiest
ppityteeeserererereressesssssssetetetttttetyyertttyyyyyetee,pttesesysertytestetrreettreerty
exterior,Exterist
admirableer,admirableest
louder,loudest
unabler,unablest
more superb,most superb
smarter,smartest
expert,expertst
less pure,least pure
straighter,straightest
premier,premieringest
adder,addest
slipperer,slipperest
directer,directest
observer,observest
raspier,raspiest
foggier,foggiest
uprighter,uprightest
tamer,tamest
queazier,queaziest
brashier,brashest
arter,artest
tinnier,tinniest
forwarder,forwardmost
quarterlier,quarterliest
numblier,numbliest
sacredder,sacreddest
lifelier,livelist
timider,timidest
limberer,limberest
more common,most common
chattier,chattiest
swifter,swiftesst
laggier,laggiest
beefier,beefiest
taller,tallest
skinnier,skinniest
fruiter,fruitest
Urananareerere,Urrertestesrstererestererer
illier,illiest
clumsier,clumsiest
more lush,most lush
less common,least common
spacier,spaciest
sedulouser,sedulousest
kinnder,kinndest
nearer,neerest
odder,oddest
inboard,inboardest
hind,hindmost
less joint,least joint
middler,middlemost
smellier,smelliest
hinder,hindmost
fainter,faintest
trier,triest
more adaptable,most adaptable
wilder,wildest
thornier,thorniest
paltrier,paltriest
everlier,everliest
humbler,humblest
inner,innermost
easterner,easternest
less desirable,least desirable
sapier,sapiest
gruesomeier,gruesomeiest
bigger,biggest
blacker,blackest
zonier,zoniest
glamouser,glamorousest
more helpful,most helpful
eerier,eeriest
snappier,snappiest
faster-paced,fastest-paced
ganglier,gangliest
sunnier,sunniest
smugger,smuggest
more opulent,most opulent
less sane,least sane
interestinger,interestingest
seconer,seconest
ferociouser,ferociousest
junglier,jungliest
freerer,freerest
zippier,zippiest
sourer,sourest
herbier,herbiest
more suave,most suave
more exciting,most exciting
more fragile,most fragile
miraculouser,miraculousest
more judicious,most judicious
lefter,leftmost
hindmost,hinder
froggier,froggiest
swammer,swommest
scholar,scholarliness
fictituser,fictitusest
squarer,squarest
shabbier,shabbiest
more xenial,most xenial
unriper,unripest
elder,eldest
fractionater,fractionatest
more subtle,most subtle
fuzzier,fuzziest
worse,worst
quakier,quakiest
poorer,poorest
mammer,mommest
fuller,fullest
lefter,leftest
ebbier,ebbiest
more noteworthy,most noteworthy
serer,sorest
sottiler,sottilest
sadder,saddest
fluffier,fluffiest
softer,softest
more handsome,most handsome
ripester,ripest
more courageous,most courageous
more sheer,most sheer
fur,furest
fluffer,fluffest
stormier,stormiest
yelpier,yelpiest
counter,counterest
waxier,waxiest
awkwarder,awkwardest
famouser,famousest
more vast,most vast
numberer,numberest
superstitionser,superstitionsest
lewder,lewdlest
swankier,swankiest
gaggier,gaggiest
constraineder,constrainedest
richer,richest
crueler,cruelest
smoother,smoothest
easlier,easliest
faultier,faultiest
nether,nethermost
cheaper,cheapest
more solemn,most solemn
leaner,leanest
successiver,successivest
older,oldest
whiter,whitest
easier,easiest
supremer,supremest
more candid,most candid
oranger,orangest
dubiouser,dubiousest
craftier,craftiest
more mute,most mute
kinder,kindest
whinier,whiniest
more gruff,most gruff
freezer,freezes
opulenter,opulentest
tidier,tidiest
thirstier,thirstiest
less quick,least quick
forthright,forthrightest
more crass,most crass
more popular,most popular
weirder,weirdest
flossier,flossiest
sicker,sickest
more complex,most complex
more tart,most tart
more knowledgeable,most knowledgeable
ponier,poniest
wittier,wittiest
newer,newest
robuster,robustest
forster,forest
haughtier,haughtiest
outrageouser,outrageousest
shrewder,shrewdest
more modern,most modern
more wry,most wry
narrower,narrowest
clammier,clammiest
saner,sanest
quainter,quaintest
more ample,most ample
browner,brownest
crookedest,crookedest
chowderier,chowderiest
bonier,boniest
slimer,slimest
talkativer,talkativest
vamper,vompest
idler,idlest
steelier,steeliest
starker,starkest
more cautious,most cautious
slower,slowest
more secure,most secure
laster,lastest
windlier,windliest
falser,falsest
more trivial,most trivial
absorbier,absorbiest
elitister,elitistest
hungrier,hungriest
cracklier,crackliest
mammier,mammiest
vexinger,vexingest
cavalier,cavaleringest
tarier,tariest
mentioner,mentionest
supiner,supinest
squishier,squishiest
emptier,emptiest
bolder,boldest
rier,riest
stinker,stinkest
more yielding,most yielding
steeper,steepest
correcter,correctest
more luminous,most luminous
classier,classiest
yummier,yummiest
utter,utterest
bier,biest
more bland,most bland
prettier,prettiest
dopier,dopiest
ambitiouse,ambitiousest
comfier,comfiest
ripelier,ripeliest
less formal,least formal
shorter,shortest
frivolouser,frivolousest
curiouser,curiousest
up,uppermost
maturer,maturest
sorrier,sorriest
more rustic,most rustic
seriouer,seriouest
outlier,outliingest
downer,downmost
gentlier,gentliest
generouser,generousest
more logical,most logical
ampler,amplest
less usual,least usual
topmost,topmostest
more aloof,most aloof
xtererertetreretrettyteerteteteterrettrerteteryr,ytyttrrteetrre
hazardouser,hazardousest
hither,hithermost
laboriouser,laboriousest
more ambitious,most ambitious
dunlier,dunliest
testeserere,tesertestesestserere
civiliser,civilisest
slighter,slightest
galorer,galorest
gracefuler,gracefulest
yeresteeprepererterrr,yerteresrererptesperet
niftier,niftiest
damper,dampest
more nonchalant,most nonchalant
less significant,least significant
bossier,bossiest
ambler,amblest
lighter,lightest
merrier,merriest
justice,justicest
completer,completest
secundder,secunddest
aptest,aptess
kosher,koshest
more quirky,most quirky
dressier,dressiest
contertyretetttrere,ctsrestetrteestteretetttteertee
cleanlier,cleanliest
hornier,horniest
snazzier,snazziest
dreamier,dreamiest
defensiver,defensivest
gaudier,gaudiest
wavier,waviest
more glib,most glib
more careful,most careful
ytryrteryeytyetyr,yyesetereyyetyeetertyereetreryryterettyte
obscurer,obscurest
wronger,wrongest
snider,snidest
curter,curtest
efficaciouser,efficaciousest
calmer,calmest
quaggier,quaggiest
firmer,firmest
saltier,saltiest
idleer,idleest
less interesting,least interesting
prompter,promptest
fore,foremost
vier,viest
filmier,filmiest
warmer,warmest
more diligent,most diligent
nervouser,nervousest
majorer,majorest
funnier,funniest
rosier,rosiest
posterior,posterist
frontier,frontiingest
capaciouser,capaciousest
curlier,curliest
more understanding,most understanding
more important,most important
netherer,nethermost
gamer,gamest
more studious,most studious
darklier,darkliest
more boring,most boring
demonstrativer,demonstrativest
creativer,creativest
quieter,quietest
more staid,most staid
more whimsical,most whimsical
more curt,most curt
fierier,firiest
primer,primest
more luscious,most luscious
outwardlier,outwardliest
realler,realest
:commoner,commonest
hastier,hastiest
obererer,obereresterer
lankier,lankiest
denser,densest
oonier,ooniest
forlore,forlornest
weaker,weakest
flood,floodest
hinder,hindest
secureer,securest
stresreett,srttyyyytretrerteetet
more weary,most weary
sonorouser,sonorousest
illlyyyyteyeresretetre,iestretssertyyetterreteyereteteryt
saplier,sapliest
riskier,riskiest
more giddy,most giddy
killier,killiest
low,lowest
more mysterious,most mysterious
commoner,commonest
gentler,gentlest
quicker,quickest
flatter,flattest
forer,foremost
gayer,gayest
jucier,juiciest
lustier,lustiest
accurater,accuratest
fakier,fakiest
sizer,sizest
meeker,meekest
sweeter,sweetest
betweener,betweenest
peperrere,perepestesterre
more jaunty,most jaunty
less wise,least wise
higher,highest
less heavy,least heavy
westlier,westliest
less intelligent,least intelligent
truer,truest
rtetyrtty,ytyyyertettretetrttytt
groggier,groggiest
mintyreessersesesrteeetteweteew,myrestseretesrstteeey
more round,most round
crunchier,crunchiest
more fit,most fit
mader,maddest
officiouser,officiousest
luckier,luckiest
flippier,flippiest
underer,underest
livelier,liveliest
aniterretere,aytesrettesesrte
more_ancient,most_ancient
upper,uppermost
itchier,itchiest
more capable,most capable
prosperouser,prosperousest
more unique,most unique
gassier,gassiest
vaguer,vaguest
severer,severest
spicier,spiciest
zanier,zaniest
knotter,knottiest
mightier,mightiest
neater,neatest
windier,windiest
grander,grandest
less tall,least tall
more successful,most successful
dizzier,dizziest
righter,rightest
livlier,livliest
nearer,nearemost
sillier,silliest
vulgarer,vulgarest
voluminouser,voluminousest
hideouser,hideousest
coyner,coynest
crazier,craziest
slier,sliest
larger,largest
loungier,loungiest
over,overmost
perniciouser,perniciousest
onboarder,onboardest
more formidable,most formidable
profuser,profusest
inner,innest
forcer,forcest
more_complex,most_complex
piteouser,piteousest
grayer,grayest
tremendouser,tremendousest
defiter,defitest
dodgier,dodgiest
more gaudy,most gaudy
bitterer,bitterest
breathier,breathiest
slimmer,slimmest
more quaint,most quaint
hiverryryetrtereerertererretr,hesretstryetrstertesrerte
gladder,gladdest
scarier,scariest
yarnier,yarniest
less new,least new
boingier,boingiest
more innovative,most innovative
mustier,mustiest
smokier,smokiest
liker,likest
more interesting,most interesting
raucouser,raucousest
fearfuller,fearfullest
brither,brithest
humbleer,humbleest
valider,validest
blurrier,blurriest
umberer,umberest
high,highest
jasplier,jaspliest
pastier,pastiest
clearer,clearest
valourer,valourest
plier,pliest
ennui-er,ennui-est
expliciter,explicitest
glader,gladest
stiffer,stiffest
loamier,loamiest
frugaler,frugalest
braver,bravest
rightereouser,rightereousest
vaner,vanest
grieviouser,grieviousest
foilier,foiliest
testester,testedest
exacter,exactest
evil,evilest
vexeder,vexedest
more unwavering,most unwavering
lamer,lamest
closer,closest
bestseller,bestsellingest
gier,giest
pruder,prudest
more competitive,most competitive
sooter,sootest
vigorouser,vigorousest
more apt,most apt
foremost,foremostest
apter,aptest
expensiver,expensivest
jollioliyesretttrtereerreereet,yseresrstretterretrert
boringer,boringest
redder,reddest
narrativer,narrativest
froth,frothiest
more zealous,most zealous
seedier,seediest
gloomier,gloomiest
funner,funnest
colder,coldest
rueder,ruedest
more ethical,most ethical
jointlier,jointliest
less light,least light
beauteouser,beauteousest
cautiouser,cautiousest
provocativer,provocativest
emoter,emotest
flower,flowest
franker,frankest
minorer,minorest
anxiouser,anxiousest
defeter,defetest
stronger,strongest
cooler,coolest
less stressful,least stressful
fancier,fanciest
more rakish,most rakish
riper,ripest
chillier,chilliest
zier,ziests
rarer,rarest
less relevant,least relevant
more sleek,most sleek
cuter,cutest
somberer,somberest
eagerer,eagerest
more original,most original
gregariouer,gregariouest
gentiler,gentilest
more acute,most acute
serener,serenest
exalter,exaltest
major,Majorist
guyler,guylest
more stable,most stable
deeper,deepest
unerringer,unerringest
less able,least able
mirthier,mirthiest
farther,farthest
more grim,most grim
backwarder,backwardest
usefuler,usefullest
queerlier,queerliest
rockier,rockiest
more ingenious,most ingenious
more numb,most numb
prolier,proliest
tricklier,trickliest
more lax,most lax
huger,hugest
wealthier,wealthiest
tauter,tautest
rasher,rashest
luxuriouser,luxuriousest
terribler,terriblest
drier,driest
limper,limpest
libiellliltereuyytreeses,loyesretsertrteeytttteeesesesertete
soberer,soberest
more resourceful,most resourceful
less great,least great
awfuller,awfullest
wanderlier,wandeliest
less,least
inner,inmost
fatter,fattest
creamier,creamiest
suaver,suavest
healthier,healthiest
abler,ablest
beneath,beneathest
timelier,timeliest
less obvious,least obvious
waavier,waaviest
more square,most square
valuelier,valueliest
less odd,least odd
prouder,proudest
sreeprerrer,steepsteptesrs
elegantior,elegantiorest
glearier,gleariest
interior,Interist
duller,dullest
forer,foremostest
dumber,dumbest
crumbier,crumbiest
vainer,vainest
saurer,sourest
frecklier,freckliest
stonier,stoniest
yippier,yippiest
hushier,hushiest
poshier,poshiest
more disciplined,most disciplined
seriouser,seriousest
zereyestserte,zyetesrtesterereeretre
grumpier,grumpiest
more stylish,most stylish
wardlier,wardliest
homier,homiest
more tense,most tense
dryer,driest
less vast,least vast
cattier,cattiest
later,last
more fabulous,most fabulous
mangier,mangiest
cleverer,cleverest
uniter,unitest
wider,widest
more spatial,most spatial
randier,randiest
balmier,balmiest
mouthier,mouthiest
zingier,zingiest
cruder,crudest
tammer,tommest
more harmful,most harmful
tamableer,tamablest
lier,liest
grainier,grainiest
less creative,least creative
sicklier,sickliest
odiouser,odiousest
testier,testiest
gossiper,gossipest
more brusque,most brusque
shinier,shiniest
unnearier,unneariest
less mad,least mad
simpler,simplest
cheapester,cheapestest
fiercer,fiercest
more adorable,most adorable
silkier,silkiest
sleepier,sleepiest
more quarrelsome,most quarrelsome
chewier,chewiest
subtler,subtlest
rambur,rambursed
shamer,shamest
percenter,percentest
wispier,wispiest
more precious,most precious
hardier,hardiest
offener,oftenest
downier,downiest
more annoying,most annoying
more diverse,most diverse
wither,withest
racier,racist
deficienter,deficientest
graver,gravest
mysteriouser,mysteriousest
eroticer,eroticest
madder,maddest
brassier,brassiest
more tenacious,most tenacious
conciser,concisest
fishier,fishiest
more,most
unhealthier,unhealthiest
acier,aciest
more absurd,most absurd
xanastreep,xaserepteserpeepeeppperrter
fruitier,fruitiest
more dramatic,most dramatic
impressiver,impressivest
needier,neediest
banterier,banteriest
silker,silkest
mid,midmost
divinlier,divinliest
grimier,grimiest
posher,poshest
homer,homest
noisier,noisiest
ominouser,ominousest
blamer,blamest
joyfuller,joyfullest
brief,briefest
preciser,precisest
tonier,toniest
less effective,least effective
fairer,fairest
riotouser,riotousest
more livid,most livid
more elaborate,most elaborate
dirtier,dirtiest
unevenher,unbenvenest
grimer,grimest
virtuouser,virtuousest
other,utmost
more radiant,most radiant
clatter,clattest
scrawnier,scrawniest
boglier,bogliest
adrier,adriest
frost,frostest
more sure,most sure
more sly,most sly
fitterere,fsryetrteptreter
denier,deniest
more peaceful,most peaceful
less young,least young
sharper,sharpest
impetuoser,impetuosest
cornyer,cornyest
less dense,least dense
shadier,shadiest
glibber,glibbest
tougher,toughest
more blunt,most blunt
lairier,lairiest
more global,most global
more magnificent,most magnificent
ultimate,Utlimatum
fouler,foulest
outer,outermost
devouter,devoutest
primuler,primulest
securer,securest
secular,secularest
more generous,most generous
morerare,mostrare
more prim,most prim
toothier,toothiest
offmoster,offmostest
former,foremost
remoter,remotest
more droll,most droll
massiver,massivest
tackier,tackiest
lewder,lewdets
leathier,leathiest
hysterier,hysterriest
archer,archest
scarser,scarcest
wesesererteree,weretseretsterer
fresher,freshest
hider,hidest
more crucial,most crucial
biddabler,biddablest
rowdier,rowdiest
funkier,funkiest
dimmer,dimmest
keelier,keeliest
looser,loosest
scandalouser,scandalousest
less real,least real
more valuable,most valuable
meaner,meanest
swifter,swiftest
greater,greatest
saver,savest
more pompous,most pompous
progressiver,progressivest
slicker,slickest
more beautiful,most beautiful
more elegant,most elegant
collaborativer,collaborativest
qiuppyertytyyetetetertyetretterytetterteretrtrttyetrrtrytte,qyttreyesreteeyytetrerertyetteretteyttyttttyttyyrr
more bizarre,most bizarre
wrier,wriest
greedier,greediest
veinier,veiniest
more wrathful,most wrathful
drearier,dreariest
more serious,most serious
more coy,most coy
safer,safest
juicier,juiciest
leafier,leafiest
rulier,ruliest
dustier,dustiest
more_valuable,most_valuable
better,best
acuter,acutest
grimmer,grimmest
blunter,bluntest
finer,finest
jaggier,jaggiest
more_archaic,most_archaic
voguier,voguiest
fonder,fondest
lamblier,lambliest
snugger,snuggest
more plush,most plush
easer,easest
latter,latest
equal-est,equallest
onwarder,onwardmost
more silent,most silent
ellipticaler,ellipticalest
more severe,most severe
fleecier,fleeciest
gancher,ganchest
bluer,bluest
blither,blithest
greener,greenest
icier,iciest
monstrouser,monstrousest
zippier,ziest
more obnoxious,most obnoxious
brichier,brichiest
wierder,wierdest
deadlier,deadliest
trendier,trendiest
jauntier,jauntiest
efficenter,efficientest
fussiest,fussiest
lazier,laziest
nutritiouser,nutritiousest
outer,utmost
more jealous,most jealous
contentiouser,contentiousest
frothier,frothiest
solpperer,sloppersteprere
warrier,warriest
fuss,fussies
thinner,thinnest
dingier,dingiest
anglier,angliest
morer,mostest
creepier,creepiest
deleteriouseer,deleteriouseest
jollier,jolliest
juster,justest
nicer,nicest
niaster,niastest
oiliier,oiliest
brainier,brainiest
more dependable,most dependable
more open,most open
ornerier,orneriest
mornlier,mornliest
molder,moldest
galaver,gavalest
more vivacious,most vivacious
paler,palest
tastier,tastiest
later,latest
more lithe,most lithe
alternativer,alternativest
quipper,quippesteperer
feebler,feeblest
preciouser,preciousest
costlier,costliest
less important,least important
vanasteree,veretestestestereereree
fitterer,fitterest
more effective,most effective
more precarious,most precarious
perfidiouser,perfidiousest
drowsier,drowsiest
courser,coursest
more impressive,most impressive
friendlier,friendliest
more notorious,most notorious
hillier,hilliest
nigher,nighmost
topmost,upmost
mellower,mellowest
greasier,greasiest
worthier,worthiest
nether,nethest
blander,blandest
rather,rathest
xanther,xanthiest
more_beautiful,most_beautiful
demurer,demurest
stupider,stupidest
icelier,iceliest
cowardlier,cowardliest
sooner,soonest
abluer,abluest
furryier,furryiest
whiler,whilest
amber,ambest
dowdier,dowdiest
murkier,murkiest
sandier,sandiest
more clear,most clear
less delicious,least delicious
vexatiouser,vexatiousest
unfairer,unfairest
glassier,glassiest
hindmost,hindmostest
consciencouser,consciencousest
after,aftermost
outer,outest
minor,Minorist
shyer,shyest
infectiouser,infectiousest
less ideal,least ideal
plainer,plainest
rackier,rackiest
tenderer,tenderest
more idiotic,most idiotic
fattier,fattiest
affiner,affinest
breezier,breeziest
more_boring,most_boring
oppressserer,oppresserestessterer
frizzlier,frizziest
less serious,least serious
uglier,ugliest
gigerrrrterer,gseryertesteserrererete
shallower,shallowest
oopteeryerytrertettttreteytettetrette,opyteetesryterretttetettrytryteteyttteettytrteyrtrytet
teethier,teethiest
fallaciouser,fallaciousest
repairer,repairest
knottier,knottiest
inferior,inferior-most
nosier,nosiest
dimplier,dimpliest
lesser,least
uproariouser,uproariousest
rightlier,rightliest
more sour,most sour
carefuller,carefullest
proser,prosest
less keen,least keen
populouser,populousest
more wet,most wet
perfecter,perfectest
nobliliast,noblililiiest
arier,ariest
foolisher,foolishest
attractiver,attractivest
dangerouser,dangerousest
nigher,nighest
manlier,manliest
injurer,injurest
smaller,smallest
sleazier,sleaziest
graciouser,graciousest
