Plump,Deplump
believe,disbelieve
breakable,unbreakable
agreeable,disagreeable
Finished,Unfinished
Branch,Debranch
Tidy,Untidy
communication,miscommunication
Governed,Ungoverned
Diagnose,Misdiagnose
blemished,unblemished
orderly,disorderly
Understood,Misunderstood
Regulation,Deregulation
manned,unmanned
rated,underrated
Stinted,Unstinted
Informed,Misinformed
relevant,irrelevant
assemble,disassemble
Usual,Unusual
Laminate,Delaminate
appear,disappear
Allocate,Deallocate
related,unrelated
Respect,Disrespect
Patient,Impatient
finished,unfinished
deniable, undeniable
spell,misspell
Seemly,Unseemly
Freeze,Defreeze
lock,unlock
Dressed,Undressed
Chaste,Unchaste
nourished,undernourished
Inflate,Deflate
allocation,misallocation
Crown,Decrown
Bridged,Unbridged
advisable,ill-advised
obey,disobey
Restrained,Unrestrained
lead,mislead
conduct,misconduct
cooperative,uncooperative
Joined,Unjoined
Filled,Unfilled
Chronistic,Anachronistic
economical,uneconomical
original,unoriginal
approved,unapproved
calculate,discalculate
Fiction,Nonfiction
Orthodox,Unorthodox
disciplined,undisciplined
Likely,Unlikely
comprehensible,incomprehensible
cover,uncover
Connected,Unconnected
own,disown
pure,impure
visible,invisible
content,discontent
Rail,Derail
Construct,Deconstruct
Fixed,Unfixed
Definite,Indefinite
String,Unstring
Jaded,Unjaded
Relevant,Irrelevant
Motivate,Demotivate
Populated,Unpopulated
Calculated,Miscalculated
Frock,Defrock
Touchable,Untouchable
credit,discredit
stable,unstable
Called,Uncalled
Integration,Disintegration
Revised,Unrevised
Zip,Unzip
Professional,Unprofessional
Mobilize,Demobilize
Important,Unimportant
Fit,Unfit
Soluble,Insoluble
Safe,Unsafe
fasten,unfasten
understanding,misunderstanding
Bearable,Unbearable
favor,disfavor
varnished,unvarnished
Artistic,Inartistic
Sexual,Asexual
Rational,Irrational
marked,unmarked
Condition,Noncondition
Fitting,Unfitting
step,misstep
Interested,Uninterested
protected,unprotected
Arm,Disarm
Capable,Incapable
connected,disconnected
classify,declassify
true,mistrue
Compliant,Noncompliant
Legal,Illegal
challenged,unchallenged
informed,misinformed
Sanctioned,Unsanctioned
Guided,Unguided
realistic,unrealistic
changing,unchanging
direct,misdirect
mannered,ill-mannered
Load,Unload
legible,illegible
Clear,Unclear
Trust,Distrust
Committal,Noncommittal
valued,undervalued
wavering,unwavering
explicit,inexplicit
Governmental,Nongovernmental
Employ,Unemploy
fortune,misfortune
Entity,Nonentity
Surpassed,Unsurpassed
tidy,untidy
Acceptable,Unacceptable
Match,Mismatch
sanitary,unsanitary
Fortune,Misfortune
Grateful,Ungrateful
tenable,untenable
needed,unneeded
answered,unanswered
Tie,Untie
Canny,Uncanny
Quote,Misquote
Aware,Unaware
Human,Inhuman
Chosen,Unchosen
Interpret,Misinterpret
true,untrue
liberal,illiberal
Essential,Nonessential
count,discount
Connect,Disconnect
estimated,underestimated
Graceful,Disgraceful
Marked,Unmarked
Hospitable,Inhospitable
Reserved,Unreserved
continued,discontinued
Bark,Debark
problematic,unproblematic
read,misread
Escalate,De-escalate
Ravel,Unravel
Tolerant,Intolerant
well,unwell
Nature,Denature
Satisfied,Dissatisfied
Religious,Irreligious
Wrinkle,Unwrinkle
calculation,miscalculation
repair,disrepair
legitimate,illegitimate
Kind,Unkind
measurable,immeasurable
Bug,Debug
biased,unbiased
Segregate,Desegregate
desirable,undesirable
doing,undoing
aligned,misaligned
Civilized,Uncivilized
polite,impolite
Limited,Unlimited
Thaw,Dethaw
Call,Miscall
Edited,Unedited
changed,unchanged
shaken,unshaken
Inspired,Uninspired
animate,inanimate
integrate,disintegrate
Quantifiable,Unquantifiable
List,Delist
real,unreal
Limit,Delimit
Filtered,Unfiltered
Original,Unoriginal
Regard,Disregard
cork,uncork
Pleasing,Displeasing
Activate,Deactivate
expensive,inexpensive
Give,Misgive
likely,unlikely
Typical,Atypical
bending,unbending
Moral,Immoral
planned,unplanned
do,undo
interesting,uninteresting
Attentive,Inattentive
equal,unequal
Balance,Imbalance
Mortal,Immortal
balanced,unbalanced
courage,discourage
tutored,untutored
treat,mistreat
controlled,uncontrolled
Conscious,Unconscious
Judgemental,Nonjudgemental
Manageable,Unmanageable
Reliable,Unreliable
Prudent,Imprudent
seasonable,unseasonable
appoint,disappoint
Embower,Disembower
encumbered,unencumbered
Sane,Insane
advantage,disadvantage
Secure,Insecure
align,Misalign
acceptable,unacceptable
Consistent,Inconsistent
Infect,Disinfect
Conceive,Misconceive
Fashionable,Unfashionable
Navigable,Unnavigable
Cover,Uncover
Rehearsed,Unrehearsed
decided,undecided
aware,unaware
motivated,unmotivated
Austere,Inaustere
qualified,disqualified
Avoidable,Unavoidable
Breathable,Unbreathable
reserved,unreserved
Frost,Defrost
Protected,Unprotected
Prepared,Unprepared
Agreeable,Disagreeable
Personal,Impersonal
Biguous,Ambiguous
Burden,Unburden
Clean,Unclean
merited,unmerited
reversible,irreversible
natural,unnatural
Harmonic,Disharmonic
active,inactive
Used,Misused
Audible,Inaudible
manage,mismanage
Trophy,Dystrophy
Healthy,Unhealthy
Certainty,Uncertainty
Value,Devalue
Ruffled,Unruffled
Respectful,Disrespectful
Incline,Decline
noticed,unnoticed
Political,Nonpolitical
Welcome,Unwelcome
profitable,unprofitable
Regular,Irregular
promising,unpromising
Code,Decode
balanced,imbalanced
believable,unbelievable
important,unimportant
common,uncommon
respect,disrespect
authorized,unauthorized
forgiving,unforgiving
Caffeinate,Decaffeinate
Sealed,Unsealed
Provoked,Unprovoked
dependent,independent
Lucky,Unlucky
Approve,Disapprove
Appear,Disappear
inhibited,uninhibited
challengeable,unchallengeable
edited,unedited
trustful,distrustful
Amiable,Unamiable
color,discolor
settled,unsettled
Flexible,Inflexible
Centralize,Decentralize
Throne,Dethrone
Glomerate,Deglomerate
bridle,unbridle
Paid,Unpaid
Normalize,Denormalize
scathed,unscathed
approachable,unapproachable
Order,Disorder
chain,unchain
grace,disgrace
congenial,incongenial
recognisable,unrecognisable
friendly,unfriendly
Serialize,Deserialize
Moral,Amoral
Treated,Untreated
practical,impractical
True,Untrue
Decided,Undecided
consistent,inconsistent
prepared,unprepared
balance,imbalance
sanity,insanity
Write,Miswrite
Understanding,Misunderstanding
Political,Apolitical
familiar,unfamiliar
Engaged,Unengaged
Credit,Discredit
Restricted,Unrestricted
Convenient,Inconvenient
approve,disapprove
Service,Disservice
afraid,unafraid
hurt,unhurt
regular,irregular
ending,unending
American,Unamerican
qualified,unqualified
tried,untried
mask,unmask
resolved,unresolved
Efficient,Inefficient
wrap,unwrap
Varied,Unvaried
Balanced,Unbalanced
debatable,undebatable
close,disclose
Proper,Improper
sanctioned,unsanctioned
Common,Uncommon
Wanted,Unwanted
order,disorder
Inflammatory,Antiinflammatory
Known,Unknown
belief,disbelief
Kept,Unkept
clean,unclean
intentional,unintentional
Proven,Unproven
satisfaction,dissatisfaction
manageable,unmanageable
Violable,Inviolable
Pleasant,Unpleasant
Mask,Unmask
Advantage,Disadvantage
answerable,unanswerable
civil,uncivil
productive,unproductive
lawful,unlawful
moral,immoral
Violence,Nonviolence
Expected,Unexpected
Credible,Incredible
correct,incorrect
Founded,Unfounded
Content,Discontent
Listed,Unlisted
Wrinkled,Unwrinkled
Guarded,Unguarded
agree,disagree
adequate,inadequate
Formed,Uformed
Educated,Uneducated
State,Misstate
predictable,unpredictable
Believable,Unbelievable
Developed,Undeveloped
attended,unattended
Fastened,Unfastened
savory,unsavory
Pleased,Displeased
respectful,disrespectful
probable,improbable
rivaled,unrivaled
Siphon,Desiphon
Skilled,Unskilled
Penetrable,Impenetrable
organize,disorganize
trust,mistrust
Yielding,Unyielding
Resistant,Nonresistant
rational,irrational
arm,disarm
Intended,Unintended
populate,depopulate
stated,understated
Popular,Unpopular
Logical,Illogical
easy,uneasy
Changed,Unchanged
harmed,unharmed
earned,unearned
Delible,Indelible
paid,unpaid
concerned,unconcerned
Complicated,Uncomplicated
Chain,Unchain
Censored,Uncensored
Assign,Unassign
Organized,Disorganized
Advantageous,Disadvantageous
Favorable,Unfavorable
Modest,Immodest
yielding,unyielding
patient,impatient
Legible,Illegible
abashed,unabashed
Cooked,Uncooked
countable,uncountable
fit,unfit
service,disservice
archy,Anarchy
Accessible,Inaccessible
Edible,Inedible
Scale,Descale
Fettered,Unfettered
Harmed,Unharmed
hygienic,unhygienic
Stablize,Destablize
Moderate,Immoderate
rail,derail
Issue,Nonissue
questionable,unquestionable
Responsible,Irresponsible
Inform,Misinform
Obstructed,Unobstructed
Claimed,Unclaimed
restricted,unrestricted
Sensitize,Desensitize
mobile,immobile
informed,uninformed
furl,unfurl
Erect,Dierct
direct,indirect
approved,disapproved
occupied,unoccupied
Perfect,Imperfect
Disturbed,Undisturbed
Figured,Unfigured
Existent,Nonexistent
Tested,Untested
Lexia,Dyslexia
suitable,unsuitable
clear,uncleared
employed,unemployed
centralize,decentralize
Understand,Misunderstand
safe,unsafe
timely,untimely
Partial,Impartial
Violent,Nonviolent
Eventful,Uneventful
Gas,Degas
just,unjust
classification,misclassification
Count,Discount
Married,Unmarried
Sure,Unsure
Wholesome,Unwholesome
foreseen,unforeseen
Symmetry,Asymmetry
Forest,Deforest
organized,unorganized
Manage,Mismanage
ice,deice
Plausible,Implausible
Salinate,Desalinate
American,UnAmerican
Tax,Detax
Brush,Debrush
Distinct,Indistinct
movable,immovable
possible,impossible
sold,unsold
Compose,Decompose
Button,Unbutton
tie,untie
Dress,Undress
Conduct,Misconduct
Possible,Impossible
Covered,Uncovered
audible,inaudible
even,uneven
Crypted,Decrypted
principled,unprincipled
usual,unusual
professional,unprofessional
ethical,unethical
Familiar,Unfamiliar
Detected,Undetected
Bind,Unbind
Place,Misplace
Use,Misuse
infect,disinfect
Veil,Unveil
Think,Misthink
Empower,Disempower
wanted,unwanted
Verified,Unverified
Topia,Dystopia
known,unknown
Sanitary,Unsanitary
curable,incurable
enlightened,unenlightened
civilized,uncivilized
Linear,Nonlinear
Qualified,Unqualified
Resistible,Irresistible
Smoker,Nonsmoker
popular,unpopular
Controlled,Uncontrolled
perfect,imperfect
speak,unspeak
resolute,irresolute
Equipped,Unequipped
communicate,miscommunicate
adorned,unadorned
bearable,unbearable
developed,undeveloped
inspired,uninspired
Glaze,Deglaze
Hydrate,Dehydrate
defeated,undefeated
Fortified,Unfortified
Press,Depress
partial,impartial
Fair,Unfair
Honor,Dishonor
Defended,Undefended
Approved,Disapproved
faithful,unfaithful
Formal,Informal
accurate,inaccurate
utilized,underutilized
prove,disprove
Valid,Invalid
Pleasure,Displeasure
Provable,Improvable
forest,deforest
Broken,Unbroken
clear,unclear
Concern,Unconcern
Daunted,Undaunted
Kissed,Unkissed
Symmetric,Asymmetric
inviting,uninviting
Chained,Unchained
connect,disconnect
regulated,unregulated
provoked,unprovoked
continue,discontinue
reasonable,unreasonable
mature,immature
Able,Unable
Wise,Unwise
Iodize,Deiodize
logical,illogical
Grounded,Ungrounded
Direct,Indirect
Fold,Unfold
Permanent,Impermanent
Auth,Unauth
intended,unintended
Allot,Misallot
spoiled,unspoiled
Behave,Misbehave
Trust,Mistrust
zip,unzip
mortal,immortal
Aggregate,Deaggregate
honorable,dishonorable
Populate,Depopulate
Polite,Impolite
Electric,Nonelectric
avoidable,unavoidable
capable,incapable
fortunate,unfortunate
Stop,Nonstop
assuming,unassuming
solved,unsolved
inform,misinform
scripted,unscripted
Agreement,Disagreement
deniable,undeniable
Appreciable,Inappreciable
convenient,inconvenient
Followed,Unfollowed
Accelerate,Decelerate
apply,misapply
Allocate,Misallocate
Qualified,Disqualified
print,misprint
Challenge,Dischallenge
Organize,Disorganize
ease,disease
Advised,Unadvised
conscious,unconscious
Defined,Undefined
Compatible,Incompatible
Rated,Unrated
Justified,Unjustified
Frozen,Unfrozen
Mature,Immature
speakable,unspeakable
regard,disregard
Teach,Misteach
Treated,Mistreated
eventful,uneventful
satisfy,dissatisfy
Social,Antisocial
dress,undress
establish,disestablish
Salt,Desalt
leash,unleash
Biased,Unbiased
Elect,Deselect
conventional,unconventional
interpret,misinterpret
employable,unemployable
Obedient,Disobedient
convinced,unconvinced
Stress,Destress
engage,disengage
tested,untested
becoming,unbecoming
furnished,unfurnished
graceful,disgraceful
responsible,irresponsible
necessary,unnecessary
Sociate,Dissociate
replaceable,irreplaceable
Adequate,Inadequate
matched,mismatched
Comfortable,Uncomfortable
Official,Unofficial
Leaded,Unleaded
anticipated,unanticipated
fettered,unfettered
legal,illegal
Pardoned,Unpardoned
diagnose,misdiagnose
Compromising,Uncompromising
restrained,unrestrained
repressible,irrepressible
Deserving,Undeserving
methodical,unmethodical
funded,underfunded
resistible,irresistible
stated,unstated
Productive,Unproductive
responsive,unresponsive
Judge,Misjudge
United,Disunited
Considerate,Inconsiderate
Orient,Disorient
ravel,unravel
Scrupulous,Unscrupulous
Pure,Impure
Curable,Incurable
Manned,Unmanned
revealing,unrevealing
read,unread
compose,decompose
Leading,Misleading
Lead,Mislead
inhabited,uninhabited
relenting,unrelenting
Foliate,Defoliate
Interrupted,Uninterrupted
happy,unhappy
speak,mispeak
conceive,misconceive
Certain,Uncertain
welcome,unwelcome
healthy,unhealthy
Speak,Misspeak
moving,unmoving
justified,unjustified
disturbed,undisturbed
Easy,Uneasy
Appropriate,Inappropriate
understood,misunderstood
forgettable,unforgettable
Realized,Unrealized
Label,Mislabel
certainty,uncertainty
Invited,Uninvited
Control,Decontrol
Reversible,Irreversible
Packaged,Unpackaged
honest,dishonest
comfort,discomfort
Honest,Dishonest
Friendly,Unfriendly
Similar,Dissimilar
satisfied,dissatisfied
flappable,unflappable
fair,unfair
Significant,Insignificant
Select,Deselect
Finite,Infinite
sociable,unsociable
Just,Unjust
Cooperation,Noncooperation
Infected,Uninfected
Managed,Unmanaged
Affiliated,Unaffiliated
value,devalue
Like,Dislike
developed,underdeveloped
Real,Unreal
Commission,Decommission
conditional,unconditional
sheathe,unsheathe
worthy,unworthy
Lock,Unlock
Nomic,Anomic
trust,distrust
soiled,unsoiled
Obliged,Unobliged
proper,improper
Necessary,Unnecessary
Mobile,Immobile
Do,Undo
Accustomed,Unaccustomed
Continue,Discontinue
limited,unlimited
paid,underpaid
official,unofficial
Wing,Dewing
kind,unkind
Infected,Disinfected
Foreseen,Unforeseen
Sect,Dissect
deserved,undeserved
behave,misbehave
selfish,unselfish
noticeable,unnoticeable
Agree,Disagree
married,unmarried
Aerobic,Anaerobic
plug,unplug
Tenable,Untenable
represent,misrepresent
attributed,misattributed
Natural,Unnatural
Know,Misknow
Expensive,Inexpensive
please,displease
Learned,Unlearned
Fashioned,Unfashioned
Humanize,Dehumanize
Connected,Disconnected
thinkable,unthinkable
wise,unwise
use,misuse
Equal,Unequal
literate,illiterate
Eligible,Ineligible
Soul,Desoul
remarkable,unremarkable
quote,misquote
pleasant,unpleasant
daunted,undaunted
Calculable,Incalculable
Nuanced,Unnuanced
Accurate,Inaccurate
understand,misunderstand
Pack,Unpack
Correct,Incorrect
steady,unsteady
defined,undefined
Fortunate,Unfortunate
escalate,de-escalate
Even,Uneven
done,undone
saddle,unsaddle
able,unable
precedented,unprecedented
similar,dissimilar
Practical,Impractical
Complete,Incomplete
Friend,Unfriend
Fuse,Defuse
burdened,unburdened
Fire,Misfire
array,disarray
surpassed,unsurpassed
Comparable,Incomparable
Devote,Misdevote
Deniable,Undeniable
Visible,Invisible
Different,Indifferent
distinguished,undistinguished
Bowel,Disembowel
organized,disorganized
Obey,Disobey
Ordered,Disordered
Graded,Ungraded
Trustful,Distrustful
raveled,unraveled
Solved,Unsolved
tethered,untethered
Masked,Unmasked
Active,Inactive
Ascend,Descend
Ramp,Deramp
Inhabited,Uninhabited
earthly,unearthly
Courage,Discourage
judge,misjudge
Locked,Unlocked
Grade,Degrade
reverent,irreverent
Literate,Illiterate
Affection,Disaffection
reliable,unreliable
nature,denature
complete,incomplete
Estimate,Misestimate
Pretentious,Unpretentious
Evolve,Devolve
affected,unaffected
proven,unproven
Loyal,Disloyal
disposed,ill-disposed
load,unload
Employed,Unemployed
Functional,Dysfunctional
Ice,Deice
conception,misconception
ravelled,unravelled
Wrap,Unwrap
advise,misadvise
Decorated,Undecorated
Solve,Dissolve
Conditional,Unconditional
Stable,Unstable
Legitimate,Illegitimate
loyal,disloyal
Represent,Misrepresent
Answerable,Unanswerable
religious,irreligious
Profit,Nonprofit
place,misplace
illusion,disillusion
Sense,Nonsense
Savory,Unsavory
Well,Unwell
Advise,Misadvise
Replaceable,Irreplaceable
honor,dishonor
moved,unmoved
Advised,Misadvised
veiled,unveiled
Jointed,Disjointed
Believe,Disbelieve
seen,unseen
Comfort,Discomfort
Furnished,Unfurnished
placed,misplaced
Brief,Debrief
Quote,Unquote
founded,unfounded
modest,immodest
Engage,Disengage
Traditional,Nontraditional
opened,unopened
Forgivable,Unforgivable
Scripted,Unscripted
Provable,Unprovable
Questionable,Unquestionable
formal,informal
skilled,unskilled
comfortable,uncomfortable
certain,uncertain
trained,untrained
Ribald,Unribald
Plane,Deplane
Climax,Anticlimax
matched,unmatched
Consent,Dissent
Increment,Decrement
questioning,unquestioning
Happy,Unhappy
Predictable,Unpredictable
Motivated,Unmotivated
Latch,Unlatch
believed,unbelieved
code,decode
adventure,misadventure
Interesting,Uninteresting
Plumbed,Unplumbed
earth,unearth
Dependent,Independent
Liked,Disliked
Crank,Decrank
Orderly,Disorderly
Calculate,Miscalculate
invited,uninvited
Reactive,Unreactive
calculate,miscalculate
ruffled,unruffled
Conformist,Nonconformist
covered,uncovered
forgivable,unforgivable
joint,disjoint
