flummox,flummoxes
milk,milk
rule,rules
eyelash,eyelashes
leg,legs
jurist,jurists
visa,visas
myself,ourselves
machinist,machinists
money,money
volcano,volcanos
tempo,tempi
lunch,lunches
auditorium,auditoriums
ghetto,ghettoes
cargo,cargos
grandfather,grandfathers
fee,fees
cover,covers
lens,lenses
change,changes
prestige,prestiges
difficulty,difficulties
porch,porches
penalty,penalties
muff,muffs
tie,ties
appendage,appendages
hangman,hangmen
temple,temples
bluff,bluffs
duck,ducks
victory,victories
innings,innings
sirex,sirexes
relative,relatives
ocean,oceans
oboe,oboes
ancestor,ancestors
resource,resources
emu,emus
pants,pants
continent,continents
penny,pence
bondage,bondages
handkerchief,handkerchiefs
feeling,feelings
verse,verses
funeral,funerals
invention,inventions
gas,gases
beaver,beavers
grassland,grasslands
match,matches
tattoo,tattoos
music,music
vajra,vajras
design,designs
talent,talents
class,classes
accommodation,accommodation
comet,comets
incident,incidents
handful,handfuls
proceeds,proceeds
scissors,scissors
disco,discos
permission,permission
style,styles
risk,risks
procedure,procedures
packet,packets
waiter,waiters
amoeba,amoebae
service,services
garde,gardes
adventure,adventures
arachnid,arachnids
color,colors
particulars,particulars
scarf,scarfs
enemy,enemies
consequence,consequences
mademoiselle,mesdemoiselles
universe,universes
sector,sectors
fireman,firemen
quarters,quarters
lock,locks
email,emails
handle,handles
raftsman,raftsmen
nucleus,nuclei
sibling,siblings
road,roads
result,results
act,acts
fed,feds
schema,schemata
axiom,axioms
newbie,newbies
report,reports
bill,bills
thing,things
orange,oranges
limit,limits
sky,skies
inferno,infernos
bookshelf,bookshelves
web,webs
pepper,peppers
aunt,aunts
holiday,holidays
phone,phones
hovercraft,hovercraft
mosquito,mosquitos
fiber,fibers
cattle,cattle
led,leds
item,items
smell,smells
gold,gold
hippo,hippos
stage,stages
agenda,agendas
component,components
method,methods
dome,domes
madam,mesdames
calf,calves
mouse,mice
plankton,plankton
mark,marks
crux,cruxes
neck,necks
mumps,mumps
lumber,lumbers
video,videos
bridge,bridges
mango,mangos
table,tables
odor,odors
sphinx,sphinxes
caveman,cavemen
mollusk,mollusks
demise,demises
window,windows
compass,compasses
maim,maims
technology,technologies
glassful,glassesful
chair,chairs
valley,valleys
rain,rain
swamp,swamps
note,notes
corporation,corporations
ceiling,ceilings
constellation,constellations
yonks,yonks
cabinet,cabinets
radio,radios
veto,vetoes
bat,bats
cable,cables
floor,floors
staff,staves
term,terms
garage,garages
thunder,thunder
phrase,phrases
attorney,attorneys
comma,commas
dentist,dentists
monkey,monkeys
glue,glues
joy,joy
aspect,aspects
platypus,platypuses
crocodile,crocodiles
soldier,soldiers
size,sizes
field,fields
apply,applies
triangle,triangles
nephew,nephews
bracket,brackets
auto,autos
flower,flowers
gonoph,gonophs
fax,faxes
vita,vitae
mine,mines
accomplice,accomplices
clue,clues
investor,investors
oasis,oases
form,forms
child,children
ship,ships
website,websites
timber,timbers
premise,premises
sister,sisters
glass,glasses
hook,hooks
shop,shops
image,images
process,processes
neighbor,neighbors
proof,proofs
food,foods
agreement,agreements
euro,euros
latte,lattes
flash,flashes
model,models
whisper,whispers
key,keys
remains,remains
theory,theories
December,Decembers
stimulus,stimuli
bench,benches
loss,losses
reason,reasons
second,seconds
focus,foci
planet,planets
tumor,tumors
apartment,apartments
hypothesis,hypotheses
step,steps
statesman,statesmen
basis,bases
dog,dogs
scarf,scarves
sportsman,sportsmen
alumna,alumnae
delay,delays
math,math
ability,abilities
bay,bays
travel,travels
glassful,glassfuls
mistake,mistakes
ruler,rulers
beacon,beacons
wish,wishes
sweater,sweaters
trouser,trousers
portfolio,portfolios
men,mens
whack,whacks
line,lines
satellite,satellites
carpet,carpets
cake,cakes
datum,data
cherry,cherries
cousin,cousins
formula,formulae
cruise,cruises
crisis,crises
regulation,regulations
mirage,mirages
wife,wives
campus,campuses
furniture,furniture
hoof,hooves
reptile,reptiles
permit,permits
team,teams
surface,surfaces
story,stories
marker,markers
crustacean,crustaceans
matrix,matrices
synthesis,syntheses
bar,bars
Dutchman,Dutchmen
waltz,waltzes
injury,injuries
bottle,bottles
river,rivers
medal,medals
cross,crosses
mail,mail
moon,moons
site,sites
faux pas,faux pas
linguistics,linguistics
character,characters
breadth,breadths
petal,petals
help,help
device,devices
handful,handsful
blanket,blankets
boat,boats
salmon,salmon
riff,riffs
crayon,crayons
tundra,tundras
torso,torsos
folder,folders
Englishman,Englishmen
era,eras
attempt,attempts
mode,modes
band,bands
macabre,macabres
kimono,kimonos
memory,memories
tableau,tableaux
nougat,nougats
pie,pies
spoon,spoons
chorus,choruses
street,streets
mission,missions
highway,highways
chairman,chairpersons
lady,ladies
progress,progress
silo,silos
plaster,plasters
novelist,novelists
mobile,mobiles
test,tests
grounds,grounds
billards,billiards
air,airs
fact,facts
index,indices
cage,cages
paper,paper
sandwich,sandwiches
ethics,ethics
watch,watches
homework,homework
bloom,blooms
sewage,sewages
puff,puffs
pressure,pressures
turf,turves
bowls,bowls
fez,fezzes
cell,cells
tomato,tomatoes
glove,gloves
corsage,corsages
elf,elves
lap,laps
buzz,buzzes
oxygen,oxygen
segue,segues
attribute,attributes
level,levels
swine,swine
tendency,tendencies
coat,coats
forum,forums
rhinoceros,rhinoceroses
october,octobers
workshop,workshops
association,associations
appendix,appendices
organization,organizations
tree,trees
addendum,addenda
eye,eyes
joke,jokes
challenge,challenges
acquaintance,acquaintances
kiwi,kiwis
nova,novae
mat,mats
riches,riches
foot,feet
power,powers
meeting,meetings
shield,shields
vegetable,vegetables
canvas,canvases
fizz,fizzes
forest,forests
alto,altos
avocado,avocados
myth,myths
criterion,criteria
bravo,bravos
meter,meters
glimpse,glimpses
helix,helices
trumpet,trumpets
bike,bikes
concern,concerns
prayer,prayers
account,accounts
toast,toasts
banjo,banjos
sobriety,sobrieties
stigma,stigmas
law,laws
bacterium,bacteria
octopus,octopuses
gain,gains
qed,qeds
diary,diaries
plowman,plowmen
part,parts
yak,yaks
job,jobs
opinion,opinions
studio,studios
casino,casinos
zero,zeros
patient,patients
phenomenon,phenomena
influence,influences
state,states
fly,flies
himself,themselves
sniff,sniffs
solo,solos
plant,plants
need,needs
belongings,belongings
macaroni,macaroni
half,halves
train,trains
woods,woods
dimension,dimensions
painter,painters
dynasty,dynasties
eon,eons
armful,armfuls
party,parties
acre,acres
bus,buses
buffalo,buffalo
end,ends
sword,swords
court-martial,courts-martial
asteroid,asteroids
painting,paintings
status,statuses
year,years
sculpture,sculptures
puppy,puppies
cherub,cherubim
mailman,mailmen
demon,demons
roomful,roomsful
herbarium,herbaria
customs,customs
acreage,acreages
storey,storeys
pizza,pizzas
killer,killers
opportunity,opportunities
user,users
adze,adzes
task,tasks
relation,relations
trousers,trousers
viz,vizzes
ape,apes
sketch,sketches
chateau,chateaux
behavior,behaviors
axis,axes
copy,copies
torpedo,torpedoes
friend,friends
expense,expenses
panel,panels
unit,units
quantity,quantities
chess,chess
deer,deer
ich,ichs
knowledge,knowledge
blood,blood
decade,decades
situation,situations
cucumber,cucumbers
editor,editors
peasantry,peasantry
monsieur,messieurs
throe,throes
age,ages
watchman,watchmen
spoonful,spoonfuls
syllabus,syllabi
sound,sounds
torch,torches
darts,darts
sport,sports
codex,codices
yeoman,yeomen
point,points
pattern,patterns
driver,drivers
village,villages
effort,efforts
event,events
word,words
screen,screens
desire,desires
politics,politics
guardsman,guardsmen
quartz,quartzes
puzzle,puzzles
kennel,kennels
advantage,advantages
mountain,mountains
apex,apices
rose,roses
ministry,ministries
sign,signs
memento,mementos
seaman,seamen
brick,bricks
north,norths
thorn,thorns
priority,priorities
tropics,tropics
burrito,burritos
directory,directories
lotto,lottos
corps,corps
beau,beaux
link,links
din,dins
mouthful,mouthfuls
hat,hats
statue,statues
virtuoso,virtuosos
police,police
gene,genes
rostrum,rostra
alarm,alarms
species,species
gaff,gaffs
song,songs
whiz,whizzes
gun,guns
fruit,fruit
peach,peaches
iris,irises
trout,trout
alumnus,alumni
message,messages
syllabus,syllabuses
ray,rays
facility,facilities
objective,objectives
trend,trends
novel,novels
ingredient,ingredients
gymnast,gymnasts
passerby,passersby
essay,essays
chance,chances
bin,bins
economics,economics
hero,heroes
tea,tea
gallows,gallows
group,groups
arm,arms
ox,oxen
movie,movies
university,universities
password,passwords
bureau,bureaux
force,forces
dish,dishes
persona,personas
sand,sand
niece,nieces
echo,echoes
gallon,gallons
prize,prizes
secret,secrets
cartoon,cartoons
institution,institutions
larynx,larynges
roomful,roomfuls
nation,nations
member,members
church,churches
master,masters
example,examples
ink,ink
rumor,rumors
census,censuses
oneself,ourselves
vessel,vessels
alias,aliases
outfit,outfits
boundary,boundaries
atlas,atlases
hair,hairs
pea,peas
pianist,pianists
spoonful,spoonsful
angle,angles
zip,zips
love,love
exercise,exercises
tour,tours
lesson,lessons
jeans,jeans
application,applications
reggae,reggaes
animal,animals
entity,entities
property,properties
object,objects
dress,dresses
island,islands
look,looks
watermelon,watermelons
snake,snakes
eyeglasses,eyeglasses
ruby,rubies
roof,roofs
dwarf,dwarves
jacket,jackets
value,values
chamber,chambers
cough,coughs
company,companies
library,libraries
gallery,galleries
voice,voices
effect,effects
wave,waves
show,shows
hippopotamus,hippopotamuses
lily,lilies
tax,taxes
detail,details
chromium,chromiums
cloud,clouds
maraca,maracas
grass,grass
impact,impacts
kiss,kisses
tractor,tractors
hew,hews
seed,seeds
larva,larvae
ruse,ruses
concerto,concertos
speaker,speakers
daisy,daisies
musician,musicians
château,châteaux
virtuoso,virtuosi
apex,apexes
toast,toast
hen,hens
comedy,comedies
jar,jars
fungus,fungi
feature,features
pastime,pastimes
ricket,rickets
school,schools
businessman,businessmen
cuff,cuffs
kernel,kernels
card,cards
conference,conferences
war,wars
wallet,wallets
hope,hopes
vortex,vortices
pliers,pliers
economy,economies
talker,talkers
document,documents
grain,grains
xis,xis
herself,themselves
nobility,nobilities
person,people
head,heads
diplomacy,diplomacies
label,labels
firebox,fireboxes
guitarist,guitarists
student,students
bison,bison
principle,principles
fork,forks
loaf,loaves
staff,staffs
treaty,treaties
judge,judges
organ,organs
tiff,tiffs
border,borders
logo,logos
zoo,zoos
itch,itches
tornado,tornadoes
weapon,weapons
nucleus,nucleuses
type,types
parent,parents
couple,couples
house,houses
hobby,hobbies
nose,noses
brother,brothers
news,news
cactus,cactuses
customer,customers
dogma,dogmas
segment,segments
fresco,frescoes
flamingo,flamingos
profile,profiles
boyfriend,boyfriends
chapter,chapters
plum,plums
trip,trips
system,systems
thanks,thanks
paragraph,paragraphs
cost,costs
bottom,bottoms
activity,activities
worry,worries
armor,armors
package,packages
army,armies
phalanx,phalanges
pig,pigs
vocabulary,vocabularies
wreckage,wreckages
motto,mottoes
date,dates
structure,structures
kind,kinds
blueberry,blueberries
falcon,falcons
gadget,gadgets
wall,walls
mile,miles
place,places
brush,brushes
finger,fingers
ten,tens
desk,desks
tip,tips
lynx,lynxes
stereo,stereos
aquarium,aquariums
dictionary,dictionaries
achievement,achievements
chef,chefs
karate,karates
address,addresses
quantum,quanta
caramel,caramels
practice,practices
pants,pantss
bed,beds
isle,isles
cry,cries
community,communities
pear,pears
diameter,diameters
option,options
episode,episodes
dream,dreams
moose,moose
instrument,instruments
garbageman,garbagemen
chin,chins
uncle,uncles
bomb,bombs
carriage,carriages
drama,dramas
server,servers
mirror,mirrors
pickle,pickles
tranquility,tranquilities
sentence,sentences
sluice,sluices
bureau,bureaus
wharf,wharves
chicken,chickens
grape,grapes
shorts,shorts
candy,candies
nebula,nebulae
mouthful,mouthsful
foreman,foremen
physics,physics
minister,ministers
star,stars
dogma,dogmata
fossil,fossils
vowel,vowels
time,times
sister-in-law,sisters-in-law
switch,switches
standard,standards
way,ways
novice,novices
artist,artists
poppy,poppies
aquarium,aquaria
agency,agencies
diagnosis,diagnoses
province,provinces
stay,stays
woodsman,woodsmen
advice,advice
statistics,statistics
referendum,referenda
magneto,magnetos
eagle,eagles
graffiti,graffiti
shoulder,shoulders
pony,ponies
album,albums
section,sections
confetti,confetti
noise,noises
jugular,jugulars
measles,measles
fleet,fleets
leaf,leaves
pack,packs
pencil,pencils
pasta,pasta
lamp,lamps
dogfish,dogfish
alga,algae
picture,pictures
parameter,parameters
factory,factories
calculator,calculators
burden,burdens
photo,photos
choice,choices
amphibian,amphibians
labor,labors
patch,patches
store,stores
volcano,volcanoes
club,clubs
success,successes
truck,trucks
program,programs
lake,lakes
goose,geese
heat,heat
saint,saints
rice,rices
idea,ideas
currency,currencies
formula,formulas
article,articles
excuse,excuses
nut,nuts
vermin,vermin
fish,fish
mammal,mammals
building,buildings
stem,stems
ghetto,ghettos
degree,degrees
college,colleges
sort,sorts
armful,armsful
gong,gongs
domino,dominoes
toy,toys
tar,tars
means,means
shingles,shingles
camera,cameras
winter,winters
shoe,shoes
buffalo,buffaloes
pin,pins
therapist,therapists
client,clients
project,projects
city,cities
grandmother,grandmothers
county,counties
week,weeks
artillery,artillery
walrus,walruses
gable,gables
dynamo,dynamos
anchor,anchors
sugar,sugar
idle,idles
spy,spies
portion,portions
body,bodies
wood,woods
cliff,cliffs
graffito,graffiti
seraph,seraphim
shrimp,shrimp
piano,pianos
purpose,purposes
quality,qualities
berry,berries
shirt,shirts
number,numbers
bird,birds
salary,salaries
tissue,tissues
stencil,stencils
thesis,theses
tool,tools
lasso,lassos
pile,piles
emotion,emotions
product,products
family,families
mosquito,mosquitoes
symbol,symbols
madame,mesdames
poem,poems
circus,circuses
television,televisions
strategy,strategies
blue,blues
life,lives
moss,mosses
poetry,poetry
piece,pieces
korun,koruny
woman,women
onion,onions
mouth,mouths
diploma,diplomas
ear,ears
massage,massages
truth,truths
acorn,acorns
period,periods
signal,signals
hour,hours
salt,salt
technique,techniques
bath,baths
candelabrum,candelabra
wage,wages
drink,drinks
needle,needles
hell,hell
box,boxes
gymnasium,gymnasiums
source,sources
flavor,flavors
symposium,symposia
chromosome,chromosomes
flag,flags
stuff,stuffs
civilization,civilizations
armadillo,armadillos
harbor,harbors
erratum,errata
contract,contracts
material,materials
thought,thoughts
policeman,policemen
igloo,igloos
virus,viruses
channel,channels
gift,gifts
perspective,perspectives
cafe,cafes
thief,thieves
reply,replies
society,societies
majority,majorities
apple,apples
tray,trays
fez,fezes
sofa,sofas
branch,branches
race,races
oil,oil
walker,walkers
bronco,broncos
merge,merges
vertex,vertices
knee,knees
network,networks
nerve,nerves
district,districts
cactus,cacti
series,series
odds,odds
issue,issues
shelf,shelves
attack,attacks
minute,minutes
youth,youths
phase,phases
radius,radii
medium,media
safe,safes
posterity,posterities
textile,textiles
seminar,seminars
cow,cows
case,cases
headquarters,headquarters
suit,suits
lever,levers
louse,lice
man,men
book,books
alley,alleys
stitch,stitches
embargo,embargoes
element,elements
cook,cooks
duo,duos
taste,tastes
kilo,kilos
ambiguity,ambiguities
bandit,bandits
theater,theaters
mother-in-law,mothers-in-law
guru,gurus
spacecraft,spacecraft
cupful,cupsful
albino,albinos
dialect,dialects
duty,duties
wreck,wrecks
connection,connections
information,information
halo,halos
quiche,quiches
equipment,equipment
fox,foxes
ferry,ferries
role,roles
wise,wises
stratum,strata
tooth,teeth
computer,computers
stomach,stomachs
title,titles
rabbit,rabbits
area,areas
attitude,attitudes
red,reds
artwork,artworks
experience,experiences
suitcase,suitcases
quasar,quasars
antenna,antennae
stadium,stadiums
memorandum,memoranda
tower,towers
metal,metals
identity,identities
wheeze,wheezes
goal,goals
drawing,drawings
tile,tiles
day,days
soprano,sopranos
bagful,bagfuls
palace,palaces
course,courses
deal,deals
game,games
memo,memos
galaxy,galaxies
cup,cups
business,businesses
navy,navies
girlfriend,girlfriends
partner,partners
motor,motors
habit,habits
teacher,teachers
author,authors
grief,griefs
sack,sacks
chimney,chimneys
shape,shapes
eraser,erasers
analysis,analyses
circle,circles
machine,machines
corner,corners
fear,fears
wattage,wattages
snowman,snowmen
faux,faux
quiz,quizzes
path,paths
manager,managers
auditorium,auditoria
pen,pens
commodity,commodities
square,squares
pupilage,pupilages
genus,genera
desert,deserts
letter,letters
hint,hints
spaghetti,spaghetti
knife,knives
button,buttons
melon,melons
stress,stresses
bandsman,bandsmen
museum,museums
disadvantage,disadvantages
division,divisions
clock,clocks
obscurity,obscurities
grip,grips
bean,beans
grouse,grouse
regards,regards
coinage,coinages
penny,pennies
ravioli,ravioli
taco,tacos
haircut,haircuts
ice,ice
cupful,cupfuls
sock,socks
side,sides
scenery,scenery
town,towns
gas,gasses
generation,generations
index,indexes
belief,beliefs
worm,worms
baggage,baggage
file,files
convex,convexes
wolf,wolves
surprise,surprises
page,pages
rice,rice
plane,planes
door,doors
bayou,bayous
pineapple,pineapples
variable,variables
banana,bananas
coworker,coworkers
problem,problems
cat,cats
memento,mementoes
sheep,sheep
november,novembers
corn,corns
Irishman,Irishmen
ellipsis,ellipses
tablet,tablets
art,arts
dormouse,dormice
herb,herbs
century,centuries
aircraft,aircraft
calyx,calyxes
toe,toes
swimsuit,swimsuits
insect,insects
face,faces
bake,bakes
mass,masses
plan,plans
accessory,accessories
chief,chiefs
battle,battles
automaton,automata
skirt,skirts
headquarter,headquarters
coffee,coffees
factor,factors
scuff,scuffs
synopsis,synopses
cargo,cargoes
parenthesis,parentheses
sex,sexes
academy,academies
vintage,vintages
cello,celli
vertebra,vertebrae
icon,icons
kangaroo,kangaroos
iron,iron
pharynx,pharynges
language,languages
strip,strips
domino,dominos
stigma,stigmata
dwarf,dwarfs
trait,traits
hoof,hoofs
donkey,donkeys
guy,guys
turf,turfs
secretary,secretaries
pavlova,pavlovas
veto,vetos
quilt,quilts
giraffe,giraffes
mango,mangoes
boy,boys
cereal,cereals
facet,facets
country,countries
offspring,offspring
turkey,turkeys
envy,envies
moment,moments
gymnasium,gymnasia
rock,rocks
promise,promises
mask,masks
fruit,fruits
dice,dice
inch,inches
stairs,stairs
car,cars
summary,summaries
jingle,jingles
symphony,symphonies
failure,failures
strawberry,strawberries
potato,potatoes
mathematics,mathematics
motorcycle,motorcycles
sample,samples
gravity,gravities
adieu,adieux
region,regions
dingo,dingoes
ally,allies
shower,showers
mineral,minerals
instance,instances
fun,fun
collage,collages
paper,papers
curriculum,curricula
Frenchman,Frenchmen
root,roots
matter,matters
beach,beaches
elk,elk
trick,tricks
question,questions
chairman,chairmen
airplane,airplanes
employee,employees
luggage,luggage
baby,babies
substance,substances
blitz,blitzes
binoculars,binoculars
minority,minorities
bubble,bubbles
bread,bread
cello,cellos
plate,plates
ratio,ratios
swordfish,swordfish
sale,sales
bush,bushes
clip,clips
epoch,epochs
carrot,carrots
horse,horses
concerto,concerti
bingo,bingoes
price,prices
month,months
view,views
mess,messes
answer,answers
rake,rakes
millennium,millennia
lullaby,lullabies
die,dice
siege,sieges
horseman,horsemen
jay,jays
evidence,evidence
bingo,bingos
self,selves
lie,lies
plus,pluses
solution,solutions
office,offices
tunnel,tunnels
melody,melodies
stadium,stadia
witch,witches
hand,hands
cloth,cloths
scenario,scenarios
focus,focuses
jewelry,jewelry
ureter,ureters
bicycle,bicycles
sat,sats
mackerel,mackerel
planetarium,planetariums
policy,policies
while,whiles
sin,sins
brother,brethren
libretto,libretti
benefit,benefits
hope,hope
batsman,batsmen
cheek,cheeks
skill,skills
cause,causes
commando,commandos
luck,luck
