skip,skipping
assemble,assembling
invalidate,invalidating
extinguish,extinguishing
scatter,scattering
fear,fearing
visualise,visualising
Surf,Surfing
link,linking
stroke,stroking
nourish,nourishing
Link,Linking
oblige,obliging
enjoy,enjoying
regulate,regulating
forge,forging
Offer,Offering
alert,alerting
tour,touring
slither,slithering
focus,focusing
define,defining
Forecast,Forecasting
consult,consulting
negotiate,negotiating
assume,assuming
Clean,Cleaning
Cook,Cooking
hate,hating
quarry,quarrying
Apply,Applying
loosen,loosening
Wish,Wishing
Share,Sharing
take,taking
disobey,disobeying
Amuse,Amusing
modify,modifying
digitize,digitizing
Develop,Developing
compose,composing
calculate,calculating
glow,glowing
whisper,whispering
question,questioning
Process,Processing
innovate,innovating
amass,amassing
zip,zipping
alter,altering
reply,replying
obsess,obsessing
interrogate,interrogating
load,loading
animate,animating
operate,operating
interrupt,interrupting
prioritize,prioritizing
Heal,Healing
evaluate,evaluating
Admire,Admiring
accelerate,accelerating
plan,planning
Help,Helping
segregate,segregating
Laugh,Laughing
waste,wasting
Complete,Completing
Exercise,Exercising
accumulate,accumulating
restrict,restricting
glitter,glittering
Conquer,Conquering
assess,assessing
listen,listening
inform,informing
excel,excelling
Purify,Purifying
advertise,advertising
presume,presuming
sketch,sketching
conclude,concluding
recover,recovering
expand,expanding
iterate,iterating
discuss,discussing
Renew,Renewing
chop,chopping
Eat,Eating
ski,skiing
admire,admiring
contract,contracting
activate,activating
trick,tricking
calm,calming
gift,gifting
rejuvenate,rejuvenating
supervise,supervising
backup,backing up
write,writing
shape,shaping
exclude,excluding
alleviate,alleviating
Ride,Riding
slide,sliding
drive,driving
orbit,orbiting
bargain,bargaining
Dream,Dreaming
thrive,thriving
elaborate,elaborating
Implement,Implementing
Support,Supporting
model,modeling
Start,Starting
rejoice,rejoicing
Taste,Tasting
forget,forgetting
Monitor,Monitoring
doubt,doubting
Swirl,Swirling
migrate,migrating
simulate,simulating
depart,departing
refine,refining
Judge,Judging
limit,limiting
scrutinize,scrutinizing
turn,turning
win,winning
decrease,decreasing
kick,kicking
hug,hugging
understand,understanding
celebrate,celebrating
govern,governing
Attack,Attacking
sacrifice,sacrificing
mediate,mediating
sail,sailing
surrender,surrendering
arrange,arranging
maintain,maintaining
deflate,deflating
empty,emptying
Care,Caring
cook,cooking
Supply,Supplying
Knit,Knitting
violate,violating
control,controlling
seek,seeking
secure,securing
develop,developing
stretch,stretching
select,selecting
love,loving
pretend,pretending
manage,managing
groan,groaning
deploy,deploying
trickle,trickling
grind,grinding
recall,recalling
claim,claiming
oppose,opposing
Arrive,Arriving
prosper,prospering
reason,reasoning
Open,Opening
Love,Loving
Configure,Configuring
Express,Expressing
participate,participating
prepare,preparing
subtract,subtracting
quantify,quantifying
suspect,suspecting
regress,regressing
escape,escaping
increase,increasing
argue,arguing
start,starting
critique,critiquing
include,including
Secure,Securing
abandon,abandoning
insist,insisting
Debug,Debugging
mentor,mentoring
Compete,Competing
ride,riding
receive,receiving
shuffle,shuffling
burn,burning
endure,enduring
nurture,nurturing
Seek,Seeking
Command,Commanding
stroll,strolling
descend,descending
Evolve,Evolving
wander,wandering
drain,draining
verify,verifying
breathe,breathing
rush,rushing
need,needing
Avoid,Avoiding
sustain,sustaining
dirty,dirtying
rescue,rescuing
peel,peeling
shift,shifting
separate,separating
craft,crafting
change,changing
mold,molding
Convert,Converting
respond,responding
solve,solving
see,seeing
agree,agreeing
venture,venturing
shimmer,shimmering
lift,lifting
train,training
transmit,transmitting
answer,answering
appraise,appraising
pick,picking
brand,branding
Offend,Offending
Improve,Improving
trap,trapping
wed,wedding
present,presenting
prefer,preferring
Demand,Demanding
upload,uploading
Enjoy,Enjoying
Treasure,Treasuring
encode,encoding
imagine,imagining
grill,grilling
watch,watching
Research,Researching
debug,debugging
poke,poking
Annoy,Annoying
Serve,Serving
fade,fading
deepen,deepening
purchase,purchasing
Guarantee,Guaranteeing
stimulate,stimulating
inflate,inflating
distinguish,distinguishing
Assist,Assisting
Marinate,Marinating
bore,boring
meet,meeting
lobby,lobbying
terminate,terminating
Repair,Repairing
progress,progressing
cool,cooling
Design,Designing
cycle,cycling
resent,resenting
Glow,Glowing
structure,structuring
disrupt,disrupting
invent,inventing
enable,enabling
season,seasoning
shop,shopping
condense,condensing
organize,organizing
monitor,monitoring
swap,swapping
Neglect,Neglecting
aggregate,aggregating
dismiss,dismissing
itch,itching
forecast,forecasting
Travel,Traveling
compel,compelling
Drink,Drinking
remain,remaining
build,building
carry,carrying
grate,grating
Accomplish,Accomplishing
Forget,Forgetting
Comfort,Comforting
Fail,Failing
Observe,Observing
Prohibit,Prohibiting
analyze,analyzing
disprove,disproving
exist,existing
Touch,Touching
transform,transforming
Hear,Hearing
Work,Working
Calm,Calming
strengthen,strengthening
weaken,weakening
rebel,rebelling
forgive,forgiving
Reveal,Revealing
Find,Finding
exit,exiting
resist,resisting
prevail,prevailing
fantasize,fantasizing
validate,validating
minimize,minimizing
finance,financing
gain,gaining
Arrange,Arranging
Pray,Praying
Pull,Pulling
own,owning
share,sharing
Relieve,Relieving
game,gaming
diagnose,diagnosing
maximize,maximizing
network,networking
demand,demanding
Guide,Guiding
pat,patting
resume,resuming
Transform,Transforming
hesitate,hesitating
conserve,conserving
persist,persisting
generate,generating
saute,sauteing
close,closing
Fry,Frying
risk,risking
explore,exploring
idolize,idolizing
Doubt,Doubting
redo,redoing
oppress,oppressing
compile,compiling
Think,Thinking
Sew,Sewing
clean,cleaning
gather,gathering
make,making
promote,promoting
decide,deciding
design,designing
debate,debating
sculpt,sculpting
Compose,Composing
Strive,Striving
Ease,Easing
fight,fighting
test,testing
fasten,fastening
divorce,divorcing
affect,affecting
worsen,worsening
lend,lending
interact,interacting
Peel,Peeling
roast,roasting
uninstall,uninstalling
skateboard,skateboarding
budget,budgeting
Hide,Hiding
Run,Running
treasure,treasuring
elevate,elevating
Iron,Ironing
draw,drawing
tie,tying
Choose,Choosing
schedule,scheduling
isolate,isolating
long,longing
prove,proving
preserve,preserving
Restore,Restoring
request,requesting
strategize,strategizing
Wonder,Wondering
save,saving
Speak,Speaking
Communicate,Communicating
retrieve,retrieving
Exchange,Exchanging
Finish,Finishing
farm,farming
express,expressing
Change,Changing
harmonize,harmonizing
socialize,socializing
lower,lowering
cultivate,cultivating
yawn,yawning
trek,trekking
pour,pouring
try,trying
comfort,comforting
complicate,complicating
Need,Needing
encourage,encouraging
dry,drying
garden,gardening
transfer,transferring
shield,shielding
synchronize,synchronizing
yell,yelling
Value,Valuing
forward,forwarding
learn,learning
protect,protecting
move,moving
download,downloading
adapt,adapting
cherish,cherishing
blink,blinking
finish,finishing
complain,complaining
marinate,marinating
Push,Pushing
gamble,gambling
sit,sitting
condemn,condemning
scale,scaling
check,checking
acquire,acquiring
dance,dancing
help,helping
deliver,delivering
scout,scouting
Destroy,Destroying
bear,bearing
emerge,emerging
Lose,Losing
Decrease,Decreasing
nod,nodding
construct,constructing
adore,adoring
Focus,Focusing
enter,entering
trade,trading
fold,folding
Experience,Experiencing
permit,permitting
Acquire,Acquiring
Swim,Swimming
stabilize,stabilizing
Prove,Proving
locate,locating
recurse,recursing
transport,transporting
refactor,refactoring
propose,proposing
heal,healing
exhale,exhaling
offer,offering
rub,rubbing
translate,translating
standardize,standardizing
allocate,allocating
Climb,Climbing
impose,imposing
restart,restarting
undress,undressing
Achieve,Achieving
unsynchronize,unsynchronizing
act,acting
market,marketing
Get,Getting
refuse,refusing
spin,spinning
soar,soaring
shake,shaking
document,documenting
affirm,affirming
mitigate,mitigating
Add,Adding
circle,circling
Reject,Rejecting
assign,assigning
Proclaim,Proclaiming
Sell,Selling
provide,providing
Become,Becoming
Hurry,Hurrying
study,studying
buy,buying
blossom,blossoming
Fix,Fixing
Trade,Trading
envision,envisioning
tickle,tickling
Lead,Leading
surf,surfing
groove,grooving
Succeed,Succeeding
sweat,sweating
croak,croaking
snarl,snarling
Thread,Threading
workout,working out
prevent,preventing
Request,Requesting
perfect,perfecting
display,displaying
avoid,avoiding
snowboard,snowboarding
safeguard,safeguarding
merge,merging
Fly,Flying
Sail,Sailing
arbitrate,arbitrating
Personalize,Personalizing
Jump,Jumping
compromise,compromising
text,texting
despise,despising
Employ,Employing
equal,equaling
give,giving
correspond,corresponding
fill,filling
fly,flying
estimate,estimating
visualize,visualizing
necessitate,necessitating
allow,allowing
Ignore,Ignoring
Invite,Inviting
spill,spilling
mine,mining
guard,guarding
disassemble,disassembling
review,reviewing
cite,citing
miss,missing
relinquish,relinquishing
inspect,inspecting
conceal,concealing
Look,Looking
pull,pulling
rot,rotting
open,opening
uplift,uplifting
 cherish,cherishing
stream,streaming
consent,consenting
discard,discarding
dive,diving
Weigh,Weighing
complete,completing
Investigate,Investigating
Happen,Happening
squeeze,squeezing
project,projecting
Gamble,Gambling
disguise,disguising
obey,obeying
ponder,pondering
Stress,Stressing
Manage,Managing
bake,baking
advance,advancing
Confront,Confronting
virtualize,virtualizing
find,finding
twinkle,twinkling
console,consoling
invest,investing
simplify,simplifying
Obtain,Obtaining
prohibit,prohibiting
Resist,Resisting
Want,Wanting
Combine,Combining
Cycle,Cycling
paint,painting
dice,dicing
award,awarding
Whisper,Whispering
Supervise,Supervising
retreat,retreating
interview,interviewing
send,sending
sigh,sighing
glance,glancing
filter,filtering
entertain,entertaining
embellish,embellishing
saunter,sauntering
criticize,criticizing
scratch,scratching
evolve,evolving
stare,staring
Administer,Administering
Multiply,Multiplying
optimize,optimizing
Drive,Driving
carve,carving
force,forcing
fry,frying
ask,asking
Invest,Investing
jog,jogging
discourage,discouraging
revive,reviving
hide,hiding
stall,stalling
play,playing
sense,sensing
Condense,Condensing
splurge,splurging
Believe,Believing
flourish,flourishing
wake,waking
restore,restoring
know,knowing
grow,growing
dismantle,dismantling
stir,stirring
Visualize,Visualizing
reserve,reserving
counsel,counseling
disconnect,disconnecting
borrow,borrowing
anticipate,anticipating
deteriorate,deteriorating
integrate,integrating
reward,rewarding
Adjust,Adjusting
steam,steaming
Know,Knowing
certify,certifying
centralize,centralizing
teach,teaching
roam,roaming
show,showing
disagree,disagreeing
organise,organising
care,caring
engage,engaging
reuse,reusing
contemplate,contemplating
praise,praising
Melt,Melting
dare,daring
summarize,summarizing
undo,undoing
Refuse,Refusing
intensify,intensifying
scold,scolding
coach,coaching
pioneer,pioneering
threaten,threatening
break,breaking
want,wanting
Bet,Betting
file,filing
experiment,experimenting
Decide,Deciding
explain,explaining
Respect,Respecting
Estimate,Estimating
Notice,Noticing
order,ordering
Begin,Beginning
shimmy,shimming
Provide,Providing
sicken,sickening
brush,brushing
wash,washing
Grow,Growing
Have,Having
supply,supplying
add,adding
authenticate,authenticating
accomplish,accomplishing
Store,Storing
minify,minifying
Boil,Boiling
exercise,exercising
Listen,Listening
steer,steering
appreciate,appreciating
follow,following
vanish,vanishing
interpret,interpreting
qualify,qualifying
meow,meowing
revolve,revolving
track,tracking
consolidate,consolidating
adjust,adjusting
drip,dripping
crave,craving
Guard,Guarding
demonstrate,demonstrating
Post,Posting
Reflect,Reflecting
Act,Acting
run,running
call,calling
modernize,modernizing
sneeze,sneezing
ignore,ignoring
donate,donating
Sleep,Sleeping
Alter,Altering
store,storing
cough,coughing
Coordinate,Coordinating
Download,Downloading
place,placing
Exclude,Excluding
improve,improving
collapse,collapsing
acheive,acheiving
Take,Taking
Irritate,Irritating
Desire,Desiring
sort,sorting
talk,talking
worship,worshiping
Soothe,Soothing
Face,Facing
narrate,narrating
jump,jumping
float,floating
Book,Booking
classify,classifying
barter,bartering
catch,catching
pursue,pursuing
record,recording
loathe,loathing
direct,directing
think,thinking
climb,climbing
predict,predicting
discover,discovering
refute,refuting
Weave,Weaving
Direct,Directing
destabilize,destabilizing
deny,denying
exchange,exchanging
assert,asserting
deactivate,deactivating
distract,distracting
Meditate,Meditating
manufacture,manufacturing
Create,Creating
rest,resting
experience,experiencing
divide,dividing
greet,greeting
destroy,destroying
Evaluate,Evaluating
desire,desiring
earn,earning
Play,Playing
sink,sinking
Anger,Angering
guide,guiding
converge,converging
march,marching
form,forming
desert,deserting
fall,falling
require,requiring
begin,beginning
tidy,tidying
repurpose,repurposing
synthesize,synthesizing
revere,revering
anchor,anchoring
commemorate,commemorating
chat,chatting
Skate,Skating
audit,auditing
investigate,investigating
hop,hopping
establish,establishing
possess,possessing
Reserve,Reserving
dominate,dominating
assist,assisting
trim,trimming
Cry,Crying
attach,attaching
detach,detaching
pulse,pulsing
consume,consuming
overflow,overflowing
date,dating
Hate,Hating
flutter,fluttering
Attain,Attaining
Mix,Mixing
worry,worrying
meditate,meditating
Reach,Reaching
package,packaging
excuse,excusing
untie,untying
aid,aiding
research,researching
serve,serving
inhale,inhaling
address,addressing
disinfect,disinfecting
Imagine,Imagining
impact,impacting
Fight,Fighting
yield,yielding
absorb,absorbing
Lift,Lifting
kiss,kissing
formulate,formulating
advise,advising
Fear,Fearing
Contract,Contracting
Smile,Smiling
Calculate,Calculating
attack,attacking
Realize,Realizing
Gain,Gaining
Entertain,Entertaining
judge,judging
reject,rejecting
Depart,Departing
tolerate,tolerating
sting,stinging
implement,implementing
tweet,tweeting
scream,screaming
count,counting
Wait,Waiting
infer,inferring
rise,rising
thirst,thirsting
Invent,Inventing
empower,empowering
Gather,Gathering
edit,editing
diversify,diversifying
fix,fixing
hinder,hindering
marry,marrying
lie,lying
shiver,shivering
handle,handling
compute,computing
sew,sewing
journey,journeying
amuse,amusing
panic,panicking
envy,envying
Forbid,Forbidding
lessen,lessening
spark,sparking
Remember,Remembering
amplify,amplifying
Slow,Slowing
ache,aching
deduce,deducing
consider,considering
produce,producing
determine,determining
Carry,Carrying
persevere,persevering
revise,revising
cure,curing
Glisten,Glistening
wither,withering
command,commanding
Understand,Understanding
die,dying
unlearn,unlearning
end,ending
achieve,achieving
Recommend,Recommending
conquer,conquering
ship,shipping
sell,selling
sterilize,sterilizing
Consider,Considering
Encourage,Encouraging
mutate,mutating
Allow,Allowing
simmer,simmering
smell,smelling
trust,trusting
End,Ending
drag,dragging
Protect,Protecting
Exist,Existing
host,hosting
Season,Seasoning
Utilize,Utilizing
approve,approving
lose,losing
cry,crying
balance,balancing
boogie,boogying
archive,archiving
decorate,decorating
throw,throwing
Predict,Predicting
perceive,perceiving
decompose,decomposing
Measure,Measuring
wound,wounding
rent,renting
motivate,motivating
read,reading
combine,combining
skate,skating
renovate,renovating
choose,choosing
deallocate,deallocating
trace,tracing
Execute,Executing
pray,praying
sanitize,sanitizing
augment,augmenting
Perform,Performing
remove,removing
harm,harming
challenge,challenging
Navigate,Navigating
expect,expecting
complexify,complexifying
contrast,contrasting
caw,cawing
promise,promising
Draw,Drawing
conform,conforming
contribute,contributing
Hack,Hacking
Shift,Shifting
Refresh,Refreshing
guarantee,guaranteeing
confirm,confirming
attend,attending
Strain,Straining
wave,waving
chirp,chirping
postpone,postponing
visit,visiting
collaborate,collaborating
Expose,Exposing
Expand,Expanding
Increase,Increasing
reflect,reflecting
continue,continuing
bond,bonding
Motivate,Motivating
Advise,Advising
emit,emitting
appear,appearing
update,updating
uphold,upholding
spray,spraying
spend,spending
slow,slowing
ramble,rambling
ascend,ascending
advocate,advocating
bet,betting
overcome,overcoming
roar,roaring
Collect,Collecting
accept,accepting
Conceal,Concealing
camp,camping
diminish,diminishing
mince,mincing
guess,guessing
ban,banning
Discover,Discovering
bloom,blooming
Analyze,Analyzing
swim,swimming
succeed,succeeding
film,filming
distrust,distrusting
Connect,Connecting
convince,convincing
decrypt,decrypting
Lumber,Lumbering
Fulfill,Fulfilling
process,processing
Permit,Permitting
stand,standing
harvest,harvesting
cooperate,cooperating
facilitate,facilitating
configure,configuring
Control,Controlling
endorse,endorsing
Sanitize,Sanitizing
embroider,embroidering
stagnate,stagnating
medicate,medicating
smile,smiling
melt,melting
resolve,resolving
Program,Programming
encrypt,encrypting
wait,waiting
drill,drilling
browse,browsing
slice,slicing
connect,connecting
moderate,moderating
weave,weaving
Prepare,Preparing
drink,drinking
decline,declining
defend,defending
search,searching
align,aligning
plant,planting
lead,leading
Study,Studying
push,pushing
Occur,Occurring
triumph,triumphing
blend,blending
Win,Winning
Plan,Planning
row,rowing
compete,competing
Move,Moving
automate,automating
illustrate,illustrating
Conduct,Conducting
fish,fishing
disable,disabling
streamline,streamlining
relate,relating
stack,stacking
crawl,crawling
dress,dressing
authorize,authorizing
Guess,Guessing
ignite,igniting
walk,walking
itemize,itemizing
rate,rating
Cherish,Cherishing
become,becoming
Reassure,Reassuring
Hike,Hiking
code,coding
Explore,Exploring
upgrade,upgrading
influence,influencing
defeat,defeating
procrastinate,procrastinating
Anticipate,Anticipating
compare,comparing
correct,correcting
score,scoring
Chop,Chopping
speak,speaking
report,reporting
decode,decoding
photograph,photographing
Receive,Receiving
notice,noticing
arrive,arriving
arise,arising
extract,extracting
throb,throbbing
Write,Writing
Accept,Accepting
collect,collecting
Experiment,Experimenting
Wash,Washing
mend,mending
Solve,Solving
convert,converting
Customize,Customizing
evaporate,evaporating
tingle,tingling
obtain,obtaining
confuse,confusing
Relax,Relaxing
shrink,shrinking
fail,failing
limp,limping
wish,wishing
Distribute,Distributing
Innovate,Innovating
suggest,suggesting
loan,loaning
Divide,Dividing
bounce,bouncing
ratify,ratifying
bike,biking
Spread,Spreading
hover,hovering
ensure,ensuring
multiply,multiplying
court,courting
value,valuing
react,reacting
bandage,bandaging
Operate,Operating
taste,tasting
support,supporting
Preserve,Preserving
injure,injuring
install,installing
sparkle,sparkling
yearn,yearning
notify,notifying
Earn,Earning
Question,Questioning
welcome,welcoming
persuade,persuading
eliminate,eliminating
Organize,Organizing
instruct,instructing
treat,treating
scrub,scrubbing
wonder,wondering
live,living
spread,spreading
clarify,clarifying
rule,ruling
flex,flexing
hurry,hurrying
contain,containing
Defend,Defending
bend,bending
administer,administering
leak,leaking
dust,dusting
reveal,revealing
Maintain,Maintaining
Sculpt,Sculpting
polish,polishing
execute,executing
stop,stopping
Suggest,Suggesting
sleep,sleeping
capture,capturing
punch,punching
Photograph,Photographing
rectify,rectifying
hunger,hungering
age,aging
decelerate,decelerating
Shine,Shining
release,releasing
Buy,Buying
Ski,Skiing
convey,conveying
face,facing
rotate,rotating
slip,slipping
Bore,Boring
sanction,sanctioning
Read,Reading
Erase,Erasing
navigate,navigating
Hope,Hoping
Expect,Expecting
Assess,Assessing
Freeze,Freezing
Modify,Modifying
pause,pausing
measure,measuring
hiss,hissing
weigh,weighing
print,printing
ameliorate,ameliorating
eat,eating
struggle,struggling
attempt,attempting
shine,shining
hear,hearing
blame,blaming
deliberate,deliberating
kneel,kneeling
concentrate,concentrating
delegate,delegating
Test,Testing
Merge,Merging
betray,betraying
hold,holding
Fold,Folding
hike,hiking
witness,witnessing
Sing,Singing
warn,warning
Handle,Handling
Concentrate,Concentrating
feel,feeling
befriend,befriending
work,working
tighten,tightening
boil,boiling
devolve,devolving
savor,savoring
Follow,Following
sing,singing
Feel,Feeling
deceive,deceiving
paddle,paddling
Contemplate,Contemplating
Assume,Assuming
glide,gliding
overthink,overthinking
halt,halting
vibrate,vibrating
growl,growling
Turn,Turning
frown,frowning
join,joining
cease,ceasing
Answer,Answering
Paint,Painting
pilot,piloting
broaden,broadening
examine,examining
sprint,sprinting
Build,Building
submit,submitting
decay,decaying
recognize,recognizing
apply,applying
laugh,laughing
speculate,speculating
broadcast,broadcasting
Smell,Smelling
hustle,hustling
travel,traveling
dream,dreaming
inspire,inspiring
coordinate,coordinating
flash,flashing
radiate,radiating
enhance,enhancing
distribute,distributing
knit,knitting
educate,educating
repair,repairing
heat,heating
oversee,overseeing
respect,respecting
Argue,Arguing
create,creating
render,rendering
grab,grabbing
excavate,excavating
bark,barking
Dance,Dancing
fabricate,fabricating
Nurture,Nurturing
zoom,zooming
hope,hoping
Cleanse,Cleansing
Upload,Uploading
fling,flinging
Shrink,Shrinking
Watch,Watching
unload,unloading
See,Seeing
reconsider,reconsidering
Select,Selecting
oscillate,oscillating
identify,identifying
practice,practicing
Learn,Learning
troubleshoot,troubleshooting
Debate,Debating
invite,inviting
suffer,suffering
enlighten,enlightening
believe,believing
volunteer,volunteering
leap,leaping
Ask,Asking
Continue,Continuing
mop,mopping
freeze,freezing
sweep,sweeping
Close,Closing
shout,shouting
describe,describing
twist,twisting
flow,flowing
disperse,dispersing
recycle,recycling
Overcome,Overcoming
wipe,wiping
remember,remembering
observe,observing
Adapt,Adapting
touch,touching
hunt,hunting
shadow,shadowing
Subtract,Subtracting
Inspire,Inspiring
Separate,Separating
suppose,supposing
license,licensing
reduce,reducing
tremble,trembling
relax,relaxing
mix,mixing
program,programming
service,servicing
proceed,proceeding
crochet,crocheting
remedy,remedying
color,coloring
Teach,Teaching
punish,punishing
Give,Giving
Require,Requiring
Accelerate,Accelerating
Bake,Baking
Await,Awaiting
Examine,Examining
communicate,communicating
Code,Coding
Attend,Attending
damage,damaging
perform,performing
mourn,mourning
disappear,disappearing
delay,delaying
shade,shading
swoop,swooping
Film,Filming
